Date	Score	Location	Competition	Serial No.
5 Apr 1987	4 - 22	Pontypool Park	Test	[1/1/1]
23 Apr 1988	6 - 36	Newport RFC	Test	[2/2/2]
15 Oct 1988	40 - 0	Waterloo R.F.C.	Test	[3/5/1]
12 Feb 1989	38 - 4	Moseley RFC	Test	[4/4/3]
11 Feb 1990	12 - 18	Neath RFC	Test	[5/5/4]
21 Oct 1990	0 - 26	Utrecht	Test	[19/6/1]
24 Mar 1991	24 - 3	Waterloo R.F.C.	Test	[7/6/5]
6 Apr 1991	12 - 0	Swansea	WC	[8/2/1]
8 Apr 1991	25 - 9	Llanharan	WC	[9/8/1]
12 Apr 1991	13 - 0	Cardiff Arms Park	WC	[10/21/1]
14 Apr 1991	6 - 19	Cardiff	WC	[11/10/1]
9 Feb 1992	10 - 14	National Stadium	Test	[9/12/6]
14 Mar 1993	23 - 5	Northampton RFC	Test	[13/10/7]
8 Jun 1993	17 - 6	Ontario	CC	[14/12/2]
10 Jun 1993	8 - 12	Ontario	CC	[8/15/1]
12 Jun 1993	38 - 0	Ontario	CC	[16/13/8]
13 Feb 1994	10 - 11	Bridgend	Test	[15/17/9]
18 Feb 1994	32 - 8	Wolverhampton	Test	[18/25/2]
11 Apr 1994	66 - 0	Boroughmuir	WC	[19/1/1]
15 Apr 1994	0 - 26	Boroughmuir	WC	[5/20/1]
17 Apr 1994	24 - 10	Gala RFC	WC	[21/12/2]
20 Apr 1994	18 - 6	Gala RFC	WC	[22/28/3]
24 Apr 1994	38 - 23	Edinburgh	WC	[23/19/3]
18 Dec 1994	30 - 5	Wasps RFC	Test	[24/25/12]
12 Feb 1995	25 - 0	Sale RFC	Test	[25/22/10]
4 Feb 1996	56 - 3	Leicester	HN	[26/23/11]
18 Feb 1996	6 - 15	Villand Bonnot	Test	[33/27/4]
3 Mar 1996	8 - 12	Edinburgh	HN	[16/28/2]
17 Mar 1996	12 - 8	Sunbury	HN	[29/11/1]
5 Jan 1997	17 - 15	Leeds	Test	[30/10/2]
26 Jan 1997	23 - 3	Blackheath	HN	[31/19/3]
9 Feb 1997	0 - 32	Limerick	HN	[13/32/2]
23 Feb 1997	15 - 17	Northampton	Test	[33/39/5]
9 Mar 1997	22 - 24	Worcester	HN	[28/34/12]
2 Apr 1997	40 - 3	Nice	FIRA	[35/33/3]
4 Apr 1997	10 - 15	Nice	FIRA	[41/36/6]
6 Apr 1997	24 - 8	Nice	FIRA	[37/23/4]
13 Aug 1997	67 - 0	Burnham	Test	[14/38/1]
31 Aug 1997	0 - 84	Hurth	Test	[16/39/1]
1 Feb 1998	5 - 13	Lille	Test	[43/40/7]
15 Feb 1997	29 - 12	Waterloo R.F.C.	HN	[41/29/13]
