Year	Organisation	Award	Representative Work	Result
1998	Star Awards	Best Variety Show Host	City Beat	Nominated
1998	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
1999	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
2002	Asian Television Awards	Best Drama Performance by an Actor	Baker in Wonderful Life - Aspirations	Highly recommended
2002	Asian Television Awards	Best Comedy Performance by an Actor	Alvin in Back To Basics	Highly recommended
2002	Asian Television Awards	Best Entertainment Presenter	Snap	Runner-up
2005	Star Awards	Best Comedy Performer	KP Club	Won
2005	Star Awards	Best Variety Show Host	101 Shopping Guide	Nominated
2005	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
2006	Star Awards	Best Variety Show Host	Home Décor Survivor	Won
2006	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
2007	Star Awards	Best Variety Show Host	Home Décor Survivor 2	Nominated
2007	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
2009	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
2010	Star Awards	Best Info-ed Programme Host	Food Hometown 2	Won
2010	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
2011	Star Awards	Most Favourite Onscreen Partner (Variety)	Home Décor Survivor 4	Nominated
2011	Star Awards	Best Variety Show Host	Home Décor Survivor 4	Nominated
2011	Star Awards	Best Info-ed Programme Host	Behind Every Job	Nominated
2011	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
2012	Star Awards	Favourite Variety Show Host	N/A	Won
2012	Star Awards	Best Variety Show Host	Rénaissance	Nominated
2012	Star Awards	Best Info-ed Programme Host	Behind Every Job 2	Nominated
2012	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
2013	Star Awards	Favourite Variety Show Host	S.N.A.P. 熠熠星光总动员	Won
2013	Star Awards	Top 10 Most Popular Male Artiste	N/A	Won
2013	Star Awards	Best Info-Ed Programme Host	Makan Unlimited	Nominated
2013	Star Awards	Best Variety Show Host	Jobs Around The World	Nominated
