Date	Opponent	Score	Loss	Attendance	Record
September 1	White Sox	4 - 2 (11)	Spoljaric (2-1)	30,156	63-74
September 2	Royals	2 - 0	Hanson (11-16)	28,177	63-75
September 3	Royals	5 - 2	Hentgen (17-8)	25,729	63-76
September 4	Royals	6 - 0	Rosado (5-5)	25,827	64-76
September 6	@ Yankees	4 - 3	Risley (0-1)	21,528	64-77
September 7	@ Yankees	3 - 2	Cone (5-2)	27,069	65-77
September 8	@ Yankees	4 - 2	Pettitte (20-8)	28,575	66-77
September 9	Rangers	4 - 3	Hentgen (17-9)	25,825	66-78
September 10	Rangers	11 - 8	Williams (3-3)	26,286	66-79
September 11	Rangers	8 - 3	Vosberg (1-1)	27,262	67-79
September 13	Yankees	4 - 1	Hanson (12-17)	31,227	67-80
September 14	Yankees	3 - 1	Hentgen (17-10)	43,397	67-81
September 15	Yankees	3 - 1	Mendoza (3-5)	36,268	68-81
September 16	Yankees	10 - 0	Quantrill (5-14)	30,115	68-82
September 17	@ Brewers	4 - 0	Andújar (1-3)	10,184	68-83
September 18	@ Brewers	2 - 1	Timlin (1-6)	9,550	68-84
September 20	@ Orioles	5 - 1	Krivda (2-5)	47,026	69-84
September 21	@ Orioles	6 - 3	Williams (4-4)	47,270	69-85
September 22	@ Orioles	5 - 4	Flener (2-2)	46,035	69-86
September 23	@ Tigers	6 - 4	Sager (4-5)	9,678	70-86
September 24	@ Tigers	4 - 1	Miller (0-4)	8,355	71-86
September 25	@ Tigers	13 - 11	Cummings (3-2)	8,055	72-86
September 26	Orioles	4 - 1	Williams (4-5)	30,141	72-87
September 27	Orioles	3 - 2	Erickson (13-12)	30,116	73-87
September 28	Orioles	3 - 2 (10)	Spoljaric (2-2)	36,316	73-88
September 29	Orioles	4 - 1	Rodríguez (0-1)	38,267	74-88
