Round	Pick	Player	Position	Nationality	Team	College
3	23	Jake Fendley Category:Articles with hCards	F	United States	Fort Wayne Pistons	Northwestern
3	24	Bato Govedarica Category:Articles with hCards	G	United States	Syracuse Nationals	DePaul
3	27	Fred Diute Category:Articles with hCards	G	United States	Rochester Royals	St. Bonaventure
4	31	Jim Slaughter Category:Articles with hCards	C	United States	Tri-Cities Blackhawks	South Carolina
4	32	Bill Tosheff Category:Articles with hCards	G	United States	Indianapolis Olympians	Indiana
4	37	Elmer Behnke Category:Articles with hCards	C	United States	Rochester Royals	Bradley
5	45	Tom Smith Category:Articles with hCards	G	United States	New York Knicks	Saint Peter's
5	48	Mike Kearns Category:Articles with hCards	G	United States	Philadelphia Warriors	Princeton
6	51	John Rennicke Category:Articles with hCards	G	United States	Tri-Cities Blackhawks	Drake
6	55	Al McGuire Category:Articles with hCards	G/F	United States	New York Knicks	St. John's
6	56	James Luisi Category:Articles with hCards	G	United States	Boston Celtics	St. Francis (NY)
7	68	George Dempsey Category:Articles with hCards	G	United States	Philadelphia Warriors	King's (NY)
8	77	James Phelan Category:Articles with hCards	G	United States	Philadelphia Warriors	La Salle
