Heat	Lane	Name	Nationality	Time
6	4	Mai Nakamura	Japan	1:00.88
6	3	Diana Mocanu	Romania	1:01.18
4	2	Roxana Maracineanu	France	1:01.66
4	3	Barbara Bedford	United States	1:01.70
4	4	Nina Zhivanevskaya	Spain	1:01.97
6	6	Louise Ørnstedt	Denmark	1:01.98
5	6	Zhan Shu	China	1:02.19
6	5	Noriko Inada	Japan	1:02.19
5	4	Antje Buschschulte	Germany	1:02.23
4	5	Dyana Calub	Australia	1:02.46
5	3	Katy Sexton	Great Britain	1:02.67
5	2	Kelly Stefanyshyn	Canada	1:02.78
5	5	Sandra Völker	Germany	1:02.88
6	1	Michelle Lischinsky	Canada	1:02.89
4	1	Lu Donghua	China	1:02.91
3	6	Kirsty Coventry	Zimbabwe	1:03.05
4	7	Charlene Wittstock	South Africa	1:03.18
6	2	Courtney Shealy	United States	1:03.19
5	7	Giaan Rooney	Australia	1:03.20
3	3	Shim Min-Ji	South Korea	1:03.20
4	6	Sarah Price	Great Britain	1:03.22
6	7	Ilona Hlaváčková	Czech Republic	1:03.28
5	1	Anu Koivisto	Finland	1:03.44
6	8	Fabíola Molina	Brazil	1:03.68
5	8	Aleksandra Miciul	Poland	1:04.51
3	5	Monique Robins	New Zealand	1:04.52
3	7	Sofie Wolfs	Belgium	1:04.66
3	1	Nadiya Beshevli	Ukraine	1:04.66
3	2	Irina Raevskaya	Russia	1:04.76
3	4	Ana Maria Gonzalez	Cuba	1:04.95
2	4	Camilla Johansson	Sweden	1:04.99
3	8	Aikaterini Bliamou	Greece	1:05.09
2	2	Hiu Wai Sherry Tsai	Hong Kong	1:05.28
4	8	Brenda Starink	Netherlands	1:05.93
2	3	Chonlathorn Vorathamrong	Thailand	1:05.98
2	6	Annamária Kiss	Hungary	1:06.12
1	6	Marie-Lizza Danila	Philippines	1:06.48
2	8	Elsa Manora Nasution	Indonesia	1:06.57
2	1	Serrana Fernández	Uruguay	1:06.57
2	7	Kuan Chia-Hsien	Chinese Taipei	1:07.18
1	4	Marica Stražmešter	Yugoslavia	1:07.21
1	3	Şadan Derya Erke	Turkey	1:07.26
1	5	Kolbrún Yr Kristjánsdóttir	Iceland	1:07.28
1	2	Anjelika Solovieva	Kyrgyzstan	1:07.63
1	7	Andrea Prono	Paraguay	1:08.11
1	1	Monika Bakale	Congo	1:16.36
2	5	Tessa Solomon	Netherlands Antilles	DNS
