Member	Electorate	Province	MPs term	Election date
John Cuff Category:Articles with hCards	Akaroa	Canterbury	First	28 Cannot handle non-empty timestamp argument!
Logan Campbell Category:Articles with hCards	City of Auckland Category:Articles with hCards	Auckland	First	27 Cannot handle non-empty timestamp argument!
Thomas Beckham Category:Articles with hCards	City of Auckland Category:Articles with hCards	Auckland	First	27 Cannot handle non-empty timestamp argument!
William Daldy Category:Articles with hCards	City of Auckland Category:Articles with hCards	Auckland	First	27 Cannot handle non-empty timestamp argument!
Frederick Merriman Category:Articles with hCards	Auckland Suburbs	Auckland	Second	27 Cannot handle non-empty timestamp argument!
Walter Brodie Category:Articles with hCards	Auckland Suburbs	Auckland	First	27 Cannot handle non-empty timestamp argument!
Hugh Carleton Category:Articles with hCards	Bay of Islands	Auckland	Second	24 Cannot handle non-empty timestamp argument!
Dingley Brittin Category:Articles with hCards	Christchurch Country	Canterbury	First	20 Cannot handle non-empty timestamp argument!
John Hall Category:Articles with hCards	Christchurch Country	Canterbury	First	20 Cannot handle non-empty timestamp argument!
Henry Sewell Category:Articles with hCards	Town of Christchurch Category:Articles with hCards	Canterbury	Second	18 Cannot handle non-empty timestamp argument!
John Cargill Category:Articles with hCards	Dunedin Country	Otago	Second	11 Cannot handle non-empty timestamp argument!
William Cargill Category:Articles with hCards	Dunedin Country	Otago	First	11 Cannot handle non-empty timestamp argument!
James Macandrew Category:Articles with hCards	Town of Dunedin Category:Articles with hCards	Otago	Second	11 Cannot handle non-empty timestamp argument!
Charles Brown Category:Articles with hCards	Grey and Bell	New Plymouth	First	8 Cannot handle non-empty timestamp argument!
Alfred Ludlam Category:Articles with hCards	Hutt	Wellington	Second	16 Cannot handle non-empty timestamp argument!
Dillon Bell Category:Articles with hCards	Hutt	Wellington	First	16 Cannot handle non-empty timestamp argument!
James FitzGerald Category:Articles with hCards	Town of Lyttelton Category:Articles with hCards	Canterbury	Second	21 Cannot handle non-empty timestamp argument!
Charles Parker Category:Articles with hCards	Motueka and Massacre Bay	Nelson	First	8 Cannot handle non-empty timestamp argument!
Alfred Domett Category:Articles with hCards	Town of Nelson Category:Articles with hCards	Nelson	First	12 Cannot handle non-empty timestamp argument!
Edward Stafford Category:Articles with hCards	Town of Nelson Category:Articles with hCards	Nelson	First	12 Cannot handle non-empty timestamp argument!
William Richmond Category:Articles with hCards	Town of New Plymouth Category:Articles with hCards	New Plymouth	First	5 Cannot handle non-empty timestamp argument!
Thomas Henderson Category:Articles with hCards	Northern Division	Auckland	First	27 Cannot handle non-empty timestamp argument!
Walter Lee Category:Articles with hCards	Northern Division	Auckland	Second	27 Cannot handle non-empty timestamp argument!
Alfred East Category:Articles with hCards	Omata	New Plymouth	First	10 Cannot handle non-empty timestamp argument!
John Williamson Category:Articles with hCards	Pensioner Settlements	Auckland	First	27 Cannot handle non-empty timestamp argument!
Joseph Greenwood Category:Articles with hCards	Pensioner Settlements	Auckland	Second	27 Cannot handle non-empty timestamp argument!
Charles Taylor Category:Articles with hCards	Southern Division	Auckland	Second	26 Cannot handle non-empty timestamp argument!
Robert Graham Category:Articles with hCards	Southern Division	Auckland	First	26 Cannot handle non-empty timestamp argument!
Charles Elliott Category:Articles with hCards	Waimea	Nelson	First	19 Cannot handle non-empty timestamp argument!
William Travers Category:Articles with hCards	Waimea	Nelson	Second	6 Cannot handle non-empty timestamp argument!
John Smith Category:Articles with hCards	Wairarapa and Hawke's Bay	Wellington	First	26 Cannot handle non-empty timestamp argument!
William Wells Category:Articles with hCards	Wairau	Nelson	First	19 Cannot handle non-empty timestamp argument!
William Fox Category:Articles with hCards	Wanganui and Rangitikei	Wellington	First	27 Cannot handle non-empty timestamp argument!
Charles Clifford Category:Articles with hCards	City of Wellington Category:Articles with hCards	Wellington	Second	13 Cannot handle non-empty timestamp argument!
Isaac Featherston Category:Articles with hCards	City of Wellington Category:Articles with hCards	Wellington	Second	13 Cannot handle non-empty timestamp argument!
William Fitzherbert Category:Articles with hCards	City of Wellington Category:Articles with hCards	Wellington	First	13 Cannot handle non-empty timestamp argument!
