Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race time	Average speed (mph)	Report
1961	October 22	Joe Weatherly	Bud Moore Engineering	Pontiac	500	250 (402.336)	3:27:02	72.452	Report
1962	July 29	Jim Paschal	Petty Enterprises	Plymouth	500	250 (402.336)	3:19:16	75.276	Report
1963	March 31	Fireball Roberts	Holman-Moody	Ford	500	250 (402.336)	3:15:02	76.91	Report
1964	March 22	Fred Lorenzen	Holman-Moody	Ford	500	250 (402.336)	3:27:46	72.196	Report
1965	May 2	Junior Johnson	Junior Johnson & Associates	Ford	500	250 (402.336)	3:20:10	74.937	Report
1966	March 20	Dick Hutcherson	Holman-Moody	Ford	500	250 (402.336)	3:34:26	69.952	Report
1967	March 19	David Pearson	Cotton Owens	Dodge	500	250 (402.336)	3:17:32	75.937	Report
1968	March 17	David Pearson	Holman-Moody	Ford	500	250 (402.336)	3:14:11	77.247	Report
1969	March 23	Bobby Allison	Mario Rossi	Dodge	500	250 (402.336)	3:04:09	81.455	Report
1970	April 5	Donnie Allison	Banjo Matthews	Ford	500	266.5 (428.89)	3:02:42	87.543	Report
1971	March 28	David Pearson	Holman-Moody	Ford	500	266.5 (428.89)	2:52:23	91.704	Report
1972	April 9	Bobby Allison	Richard Howard	Chevrolet	500	266.5 (428.89)	2:50:18	92.826	Report
1973	March 25	Cale Yarborough	Richard Howard	Chevrolet	500	266.5 (428.89)	2:57:43	88.952	Report
1974	March 17	Cale Yarborough	Richard Howard	Chevrolet	450*	239.85 (386.001)	3:42:50	64.533	Report
1975	March 16	Richard Petty	Petty Enterprises	Dodge	500	266.5 (428.89)	2:43:53	97.053	Report
1976	March 14	Cale Yarborough	Junior Johnson & Associates	Chevrolet	400	213.2 (343.112)	2:25:24	87.377	Report
1977	April 17	Cale Yarborough	Junior Johnson & Associates	Chevrolet	500	266.5 (428.89)	2:38:20	100.989	Report
1978	April 2	Darrell Waltrip	DiGard Motorsports	Chevrolet	500	266.5 (428.89)	2:53:03	92.401	Report
1979	April 1	Dale Earnhardt	Rod Osterlund Racing	Chevrolet	500	266.5 (428.89)	2:55:39	91.033	Report
1980	March 30	Dale Earnhardt	Rod Osterlund Racing	Chevrolet	500	266.5 (428.89)	2:44:53	96.977	Report
1981	March 29	Darrell Waltrip	Junior Johnson & Associates	Buick	500	266.5 (428.89)	2:58:36	89.53	Report
1982	March 14	Darrell Waltrip	Junior Johnson & Associates	Buick	500	266.5 (428.89)	2:49:52	94.025	Report
1983	May 21	Darrell Waltrip	Junior Johnson & Associates	Chevrolet	500	266.5 (428.89)	2:51:07	93.445	Report
1984	April 1	Darrell Waltrip	Junior Johnson & Associates	Chevrolet	500	266.5 (428.89)	2:50:10	93.967	Report
1985	April 6*	Dale Earnhardt	Richard Childress Racing	Chevrolet	500	266.5 (428.89)	3:15:42	81.79	Report
1986	April 6	Rusty Wallace	Blue Max Racing	Pontiac	500	266.5 (428.89)	2:58:14	89.747	Report
1987	April 12	Dale Earnhardt	Richard Childress Racing	Chevrolet	500	266.5 (428.89)	3:31:27	75.621	Report
1988	April 10	Bill Elliott	Melling Racing	Ford	500	266.5 (428.89)	3:12:23	83.115	Report
1989	April 9	Rusty Wallace	Blue Max Racing	Pontiac	500	266.5 (428.89)	3:30:18	76.034	Report
1990	April 8	Davey Allison	Robert Yates Racing	Ford	500	266.5 (428.89)	3:03:15	87.258	Report
1991	April 14	Rusty Wallace	Penske Racing	Pontiac	500	266.5 (428.89)	3:39:37	72.809	Report
1992	April 5	Alan Kulwicki	AK Racing	Ford	500	266.5 (428.89)	3:05:15	86.316	Report
