-	Week 1	Week 2	Week 3	Week 4	Week 5
January	Mackenzie Ryan	Kelli Peters	Meagan Radelat	Kimberly Holland *	[Month Ended]
February	Rochelle Loewen*	Rebecca Roozrokh	Andrea Marin	J'Tia Taylor	[Month Ended]
March	Jenny Gable	Claudia Costa	Crystal Lee	Meagan Rose Campbell	Natalie Taylor*
April	Carrie Ann Beckett	Amy Sue Cooper **	Amanda Renae	Summer Ehly	[Month Ended]
May	Masha Christensen	Tiffany Logan	Cynthia Lea	Hollie Winnard*	Elizabeth Primeaux
June	Mandy Ashford	Tiffani Hollowell	Jessica Kramer	Danielle Gamba *	[Month Ended]
July	Sheila Levell	Tanya Sue	Paula LaRocca*	Araya Robinson	[Month Ended]
August	Marie Thompson	Misty Dawn	Amy Robinson	Alexis Tyler	Kate Marie*
September	Brandy Canada	Christina Carson	Vivian Le Brock	Amy McCarthy *	[Month Ended]
October	Julia Marie	Jeniffer Silva	Brenda Jones	Carrie Minter*	[Month Ended]
November	Yumi Lee	Nicole Kelley*	Trista Ashley	Christina Linehan	Alex Chanler
