Episode	Original airdate	Timeslot (approx.)	Viewers (millions)	Nightly rank
1	18 May 2008	Sunday 6:30–7:30 pm	1.351	#5
2	25 May 2008	Sunday 6:30–7:30 pm	1.481	#4
3	1 June 2008	Sunday 6:30–7:30 pm	1.514	#4
4	8 June 2008	Sunday 6:30–7:30 pm	1.364	#4
5	15 June 2008	Sunday 6:30–7:30 pm	1.515	#3
6	22 June 2008	Sunday 6:30–7:30 pm	1.506	#4
7	29 June 2008	Sunday 6:30–7:30 pm	1.512	#4
8	6 July 2008	Sunday 6:30–7:30 pm	1.578	#2
9	13 July 2008	Sunday 6:30–7:30 pm	1.680	#2
10	20 July 2008	Sunday 6:30–7:30 pm	1.432	#3
11	27 July 2008	Sunday 6:30–7:30 pm	1.547	#4
12	31 August 2008	Sunday 6:30–7:30 pm	1.462	#4
13	7 September 2008	Sunday 6:30–7:30 pm	1.349	#4
14	10 November 2008	Monday 7:30–9:00 pm	1.677	#1
15	17 November 2008	Monday 7:30–8:30 pm	1.324	#4
