Week	Date	Opponent	Result	Attendance
1	September 9, 1990	Pittsburgh Steelers	W 13–3	78,298
2	September 16, 1990	at New York Jets	L 21–24	67,354
3	September 23, 1990	San Diego Chargers	L 24–14	77,429
4	September 30, 1990	at Kansas City Chiefs	L 34–0	75,462
5	October 8, 1990	at Denver Broncos	W 30–29	74,814
6	October 14, 1990	at New Orleans Saints	L 25–20	68,608
7	October 22, 1990	Cincinnati Bengals	L 34–13	78,567
8	October 28, 1990	at San Francisco 49ers	L 20–17	63,672
9	November 4, 1990	Buffalo Bills	L 42–0	78,331
10	Bye	Bye	Bye	Bye
11	November 18, 1990	Houston Oilers	L 35–23	76,726
12	November 25, 1990	Miami Dolphins	L 30–13	70,225
13	December 2, 1990	Los Angeles Rams	L 38–23	61,981
14	December 9, 1990	at Houston Oilers	L 58–14	54,469
15	December 16, 1990	Atlanta Falcons	W 13–10	46,536
16	December 23, 1990	at Pittsburgh Steelers	L 0–35	51,665
17	December 30, 1990	at Cincinnati Bengals	L 21–14	60,041
