Country	Tourist arrivals (2011) (Millions)	Tourism receipts (2011) (Millions of US$)	Tourism receipts (2011) (US$ per arrival)	Tourism receipts (2011) (US$ per capita)	Tourism receipts (2003) (as % of GDP)	Tourism receipts (2003) (as % of exports)	Tourism competitiveness (2011) (TTCI)
Argentina	5.663	5,353	945	133	7.4	1.8	4.20
Bolivia	0.807	310	384	31	9.4	2.2	3.35
Brazil	5.433	6,555	1,207	34	3.2	0.5	4.36
Chile	3.070	1,831	596	107	5.3	1.9	4.27
Colombia	4.356	4,061	873	45	6.6	1.4	3.94
Costa Rica	2.196	2,156	982	459	17.5	8.1	4.43
Cuba	2.507	2,187	872	194	N/A	N/A	N/A
Dominican Republic	4.306	4,353	1,011	440	36.2	18.8	3.99
Ecuador	1.141	837	734	58	6.3	1.5	3.79
El Salvador	1.184	415	351	67	12.9	3.4	3.68
Guatemala	1.225	1,350	1,102	94	16.0	2.6	3.82
Haiti	0.255	167	655	17	19.4	3.2	N/A
Honduras	0.931	701	753	92	13.5	5.0	3.79
Mexico	23.403	11,869	507	105	5.7	1.6	4.43
Nicaragua	1.060	377	356	65	15.5	3.7	3.56
Panama	2.06	1,926	1,308	550	10.6	6.3	4.30
Paraguay	0.524	241	460	37	4.2	1.3	3.26
Peru	2.598	2,360	908	81	9.0	1.6	4.04
Uruguay	2.857	2,187	765	643	14.2	3.6	4.24
Venezuela	0.510	739	1,449	25	1.3	0.4	3.46
