Week	Date	Opponent	Result	Attendance
1	September 12, 1999	Dallas Cowboys	L 35-41	79,237
2	September 19, 1999	at New York Giants	W 50-21	73,170
3	September 26, 1999	at New York Jets	W 27-20	78,161
4	October 3, 1999	Carolina Panthers	W 38-36	76,831
5	Bye	Bye	Bye	Bye
6	October 17, 1999	at Arizona Cardinals	W 24-10	55,893
7	October 24, 1999	at Dallas Cowboys	L 20-38	64,377
8	October 31, 1999	Chicago Bears	W 48-22	77,621
9	November 7, 1999	Buffalo Bills	L 17-34	78,721
10	November 14, 1999	at Philadelphia Eagles	L 28-35	66,591
11	November 21, 1999	New York Giants	W 23-13	78,641
12	November 28, 1999	Philadelphia Eagles	W 20-17	74,741
13	December 5, 1999	at Detroit Lions	L 17-33	77,693
14	December 12, 1999	Arizona Cardinals	W 28-3	75,851
15	December 19, 1999	at Indianapolis Colts	L 21-24	57,013
16	December 26, 1999	at San Francisco 49ers	W 26-20	68,329
17	January 2, 2000	Miami Dolphins	W 21-10	78,106
