Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
58	March 2	@ Charlotte	L 98–110 (OT)	Anthony Parker (24)	Kris Humphries , Anthony Parker (6)	José Calderón (10)	Charlotte Bobcats Arena 12,083	32–26
59	March 4	@ Orlando	L 87–102 (OT)	T. J. Ford (20)	Carlos Delfino , Anthony Parker (9)	José Calderón , Carlos Delfino (3)	Amway Arena 17,519	32–27
60	March 5	@ Miami	W 108–83 (OT)	Radoslav Nesterović (16)	Radoslav Nesterović (10)	José Calderón (13)	American Airlines Arena 19,143	33–27
61	March 7	Washington	L 106–110 (OT)	Andrea Bargnani (27)	Radoslav Nesterović (12)	José Calderón (9)	Air Canada Centre 19,800	33–28
62	March 9	Seattle	W 114–106 (OT)	Anthony Parker (23)	Andrea Bargnani (7)	Radoslav Nesterović (6)	Air Canada Centre 19,800	34–28
63	March 11	@ L.A. Lakers	L 108–117 (OT)	T. J. Ford (28)	Radoslav Nesterović (8)	Andrea Bargnani , José Calderón (6)	Staples Center 18,997	34–29
64	March 12	@ Golden State	L 106–117 (OT)	T. J. Ford (23)	Anthony Parker (9)	T. J. Ford (8)	Oracle Arena 19,596	34–30
65	March 14	@ Denver	L 105–137 (OT)	Anthony Parker (19)	Carlos Delfino , Jamario Moon (7)	José Calderón (7)	Pepsi Center 17,952	34–31
66	March 16	@ Sacramento	L 100–106 (OT)	Jason Kapono (26)	Radoslav Nesterović (8)	José Calderón (9)	ARCO Arena 13,963	34–32
67	March 17	@ Utah	L 79–96 (OT)	José Calderón (16)	Radoslav Nesterović (12)	José Calderón (7)	EnergySolutions Arena 19,911	34–33
68	March 19	Miami	W 96–54 (OT)	Andrea Bargnani , Anthony Parker (14)	Jamario Moon (14)	José Calderón (10)	Air Canada Centre 19,800	35–33
69	March 21	@ Cleveland	L 83–90 (OT)	Chris Bosh (24)	Jamario Moon (10)	T. J. Ford (5)	Quicken Loans Arena 20,562	35–34
70	March 23	Denver	L 100–109 (OT)	Chris Bosh , José Calderón (17)	Jamario Moon (15)	Chris Bosh (9)	Air Canada Centre 19,800	35–35
71	March 26	Detroit	W 89–82 (OT)	Chris Bosh (21)	Radoslav Nesterović (9)	T. J. Ford (9)	Air Canada Centre 19,800	36–35
72	March 28	New York	W 103–95 (OT)	Chris Bosh (29)	Chris Bosh , Carlos Delfino (10)	T. J. Ford (9)	Air Canada Centre 19,800	37–35
73	March 30	New Orleans	L 111–118 (OT)	Chris Bosh (21)	Chris Bosh , Kris Humphries (7)	José Calderón (11)	Air Canada Centre 19,800	37–36
74	March 31	@ Charlotte	W 104–100 (OT)	Chris Bosh (32)	Radoslav Nesterović (11)	T. J. Ford (7)	Charlotte Bobcats Arena 12,188	38–36
