Rank	Country (or dependent territory)	July 1, 2013 projection	% of pop.	Average relative annual growth (%)	Average absolute annual growth
1	Egypt	84,605,000	22.81	2.29	1,893,000
2	Algeria	38,295,000	10.32	2.11	792,000
3	Iraq	35,404,000	9.54	3.06	1,051,000
4	Sudan	35,150,000	9.47	2.52	863,000
5	Morocco	32,950,000	8.88	1.08	353,000
6	Saudi Arabia	30,193,000	8.14	3.41	997,000
7	Yemen	25,252,000	6.81	2.96	725,000
8	Syria	22,169,000	5.98	2.45	531,000
9	Tunisia	10,889,000	2.94	1.03	111,000
10	Somalia	9,662,000	2.60	1.17	112,000
11	United Arab Emirates	8,659,000	2.33	1.56	133,000
12	Jordan	6,517,000	1.76	2.84	180,000
13	Libya	6,323,000	1.70	1.56	97,000
14	Palestine	4,421,000	1.19	2.91	125,000
15	Lebanon	4,127,000	1.11	1.58	64,000
16	Oman	3,942,000	1.06	8.80	319,000
17	Kuwait	3,852,000	1.04	2.94	110,000
18	Mauritania	3,461,000	0.93	2.58	87,000
19	Qatar	1,917,000	0.52	3.85	71,000
20	Bahrain	1,546,000	0.42	7.36	106,000
21	Djibouti	912,000	0.25	2.70	24,000
22	Comoros	743,000	0.20	2.62	19,000
align=left|Total	370,989,000	100.00	2.42	8,763,000	29
