Issued title	Year	Label	Format	Catalog
1958 Miles	1974	CBS/Sony	stereo vinyl LP	20AP 1401
1958 Miles	1979	CBS Records	remastered LP	CBS 1401
'58 Sessions Featuring Stella by Starlight	1991	Columbia	CD reissue	CK-47835
'58 Sessions Featuring Stella by Starlight	1991	Columbia	cassette	CT-47835
'58 Miles	1991	CBS	d re-release CD	CBS 467918-2
'58 Miles	1991	CBS, Sony Records	re-released cassette	SRCS-9102
'58 Sessions Featuring Stella by Starlight	1994	Jazz Records	CD	JR-4679182
1958 Miles	1997	Sony	CD	SRCD-65344
1958 Miles	2001	Sony	CD	SRCD-98004
1958 Miles	2006	Sony	CD	SRCD-1204
1958 Miles	2006	Sony Japan	CD, bonus track	SRCS-966
