Round	Pick #	Player	Position	College	Tenure w/ Steelers
1	22	Johnson, Ron Ron Johnson	Defensive back	Eastern Michigan	1978– 1984
2	49	Fry, Willie Willie Fry	Defensive end	Notre Dame	—
3	76	Colquitt, Craig Craig Colquitt	Punter	Tennessee	1978– 1984
4	101	Anderson, Larry Larry Anderson	Defensive back	Louisiana Tech	1978– 1981
6	160	Reutershan, Randy Randy Reutershan	Wide receiver	Pitt	1978
7	187	Dufresne, Mark Mark Dufresne	Tight end	Nebraska	—
8	208 [a ]	Moser, Rick Rick Moser	Running back	Rhode Island	1978– 1979 , 1981 , 1982
8	214	Keys, Andre Andre Keys	Wide receiver	Cal Poly	—
9	241	Reynolds, Lance Lance Reynolds	Offensive tackle	BYU	—
10	268	Becker, Doug Doug Becker	Linebacker	Notre Dame	—
10	276 [b ]	Jurich, Tom Tom Jurich	Placekicker	Northern Arizona	—
11	279 [b ]	Terry, Nat Nat Terry	Defensive back	Florida State	1978
11	300	Brzoza, Tom Tom Brzoza	Center	Pitt	—
12	327	Carr, Brad Brad Carr	Linebacker	Maryland	—
