Pick #	Player	Position	Nationality	NHL team	College/junior/club team
71	Gerry Egers	Defence	Canada	California Golden Seals	Sudbury Wolves (NOHA)
72	Charlie Shaw	Defence	Canada	Detroit Red Wings	Toronto Marlboros (OHA)
73	Tim Steeves	Defence	Canada	Vancouver Canucks	Charlottetown Royals (NBSHL)
74	Ian Williams	Right Wing	Canada	Pittsburgh Penguins	University of Notre Dame (NCAA)
75	Pierre Duguay	Centre	Canada	Buffalo Sabres	Quebec Remparts (QMJHL)
76	Camille LaPierre	Centre	Canada	Los Angeles Kings	Montreal Junior Canadiens (OHA)
77	Alan Globensky	Defence	Canada	Minnesota North Stars	Montreal Junior Canadiens (OHA)
78	Yvon Bilodeau	Defence	Canada	Philadelphia Flyers	Estevan Bruins (WCHL)
79	Mike Ruest	Defence	Canada	Toronto Maple Leafs	Cornwall Royals (QMJHL)
80	Bernie Doan	Defence	Canada	St. Louis Blues	Calgary Centennials (WCHL)
81	Ross Butler	Left Wing	Canada	Montreal Canadiens	Winnipeg Jets (WCHL)
82	Jim Johnston	Centre	Canada	Chicago Black Hawks	University of Wisconsin (WCHA)
83	Wayne Wood	Goaltender	Canada	New York Rangers	Montreal Junior Canadiens (OHA)
84	Bob McMahon	Defence	Canada	Boston Bruins	St Catharines Black Hawks (OHA)
