Pick #	Player	Nationality	Position	Team from	League from
31	Tyler Pitlick	United States	C	Minnesota State University, Mankato	Western Collegiate Hockey Association
32	Jared Knight	United States	C	London Knights	Ontario Hockey League
33	John McFarland	Canada	C	Sudbury Wolves	Ontario Hockey League
34	Dalton Smith	Canada	LW	Ottawa 67's	Ontario Hockey League
35	Ludvig Rensfeldt	Sweden	C	Brynäs IF	J20 SuperElit (Sweden)
36	Alex Petrovic	Canada	D	Red Deer Rebels	Western Hockey League
37	Justin Faulk	United States	D	U.S. National U-18 Team	United States Hockey League
38	Jon Merrill	United States	D	U.S. National U-18 Team	United States Hockey League
39	Brett Bulmer	Canada	RW	Kelowna Rockets	Western Hockey League
40	Christian Thomas	Canada	RW	Oshawa Generals	Ontario Hockey League
41	Patrik Nemeth	Sweden	D	AIK	J20 SuperElit (Sweden)
42	Devante Smith-Pelly	Canada	RW	Mississauga St. Michael's Majors	Ontario Hockey League
43	Bradley Ross	Canada	LW	Portland Winterhawks	Western Hockey League
44	Sebastian Wannstrom	Sweden	C	Brynäs IF	J20 SuperElit (Sweden)
45	Ryan Spooner	Canada	C	Peterborough Petes	Ontario Hockey League
46	Martin Marincin	Slovakia	D	HC Košice	Slovak Extraliga
47	Tyler Toffoli	Canada	RW	Ottawa 67's	Ontario Hockey League
48	Curtis Hamilton	Canada	LW	Saskatoon Blades	Western Hockey League
49	Calvin Pickard	Canada	G	Seattle Thunderbirds	Western Hockey League
50	Connor Brickley	United States	C	Des Moines Buccaneers	United States Hockey League
51	Calle Jarnkrok	Sweden	C	Brynäs IF	Elitserien (Sweden)
52	Philip Lane	United States	RW	Brampton Battalion	Ontario Hockey League
53	Mark Alt	United States	D	Cretin-Derham Hall	United States High School-MN
54	Justin Holl	United States	D	Omaha Lancers	United States Hockey League
55	Petr Straka	Czech Republic	F	Rimouski Océanic	Quebec Major Junior Hockey League
56	Johan Larsson	Sweden	C	Brynäs IF	J20 SuperElit (Sweden)
57	Oscar Lindberg	Sweden	C	Skellefteå AIK	Elitserien (Sweden)
58	Kent Simpson	Canada	G	Everett Silvertips	Western Hockey League
59	Jason Zucker	United States	RW	U.S. National U-18 Team	United States Hockey League
60	Stephen Johns	United States	D	U.S. National U-18 Team	United States Hockey League
