Player	Country	Year(s) won	Total	To par
Gary Player	South Africa	1961 , 1974 , 1978	150	+6
Craig Stadler	United States	1982	150	+6
Raymond Floyd	United States	1976	152	+8
Gay Brewer	United States	1967	153	+9
Billy Casper	United States	1970	153	+9
Charles Coody	United States	1971	153	+9
George Archer	United States	1969	155	+11
Tommy Aaron	United States	1973	156	+12
Doug Ford	United States	1957	156	+12
Arnold Palmer	United States	1958 , 1960 , 1962 , 1964	156	+12
Bob Goalby	United States	1968	160	+16
