Date	Opponent	Score	Loss	Attendance	Record
August 1	Indians	4 - 1	Sowers (1-6)	33,709	61-48
August 2	Indians	5 - 1	Slowey (7-8)	40,937	61-49
August 3	Indians	6 - 2	Ginter (1-3)	39,818	62-49
August 4	@ Mariners	11 - 6	Bass (3-4)	27,758	62-50
August 5	@ Mariners	8 - 7	Guerrier (6-5)	26,083	62-51
August 6	@ Mariners	7 - 3	Washburn (5-11)	30,441	63-51
August 8	@ Royals	4 - 1	Davies (5-3)	33,653	64-51
August 9	@ Royals	7 - 3	Greinke (9-8)	27,960	65-51
August 10	@ Royals	5 - 4 (12)	Breslow (0-1)	23,163	65-52
August 11	Yankees	4 - 0	Ponson (7-3)	30,126	66-52
August 12	Yankees	9 - 6 (12)	Guerrier (6-6)	33,036	66-53
August 13	Yankees	4 - 2	Rasner (5-9)	35,187	67-53
August 15	Mariners	9 - 3	Silva (4-14)	32,208	68-53
August 16	Mariners	7 - 6	Jiménez (0-2)	36,316	69-53
August 17	Mariners	11 - 8	Feierabend (0-1)	35,478	70-53
August 18	Athletics	3 - 2	Blackburn (9-7)	25,024	70-54
August 19	Athletics	13 - 2	Gallagher (4-6)	35,256	71-54
August 20	Athletics	3 - 1	Braden (3-3)	30,888	72-54
August 21	@ Angels	2 - 1 (12)	Speier (1-7)	41,367	73-54
August 22	@ Angels	9 - 0	Saunders (14-6)	43,819	74-54
August 23	@ Angels	7 - 5	Blackburn (9-8)	43,906	74-55
August 24	@ Angels	5 - 3	Crain (5-3)	40,011	74-56
August 25	@ Mariners	4 - 2 (11)	Crain (5-4)	23,277	74-57
August 26	@ Mariners	3 - 2	Baker (7-4)	26,292	74-58
August 27	@ Mariners	6 - 5	Green (3-4)	23,581	75-58
August 28	@ Athletics	3 - 2	Breslow (0-2)	12,357	75-59
August 29	@ Athletics	12 - 2	Meyer (0-3)	22,355	76-59
August 30	@ Athletics	3 - 2	Nathan (0-1)	25,238	76-60
August 31	@ Athletics	12 - 4	Smith (6-14)	18,427	77-60
