Stage	Time	Name	Length	Winner	Rally leader
SS1	18:35	River Plate Stadium	2.40km	M. Hirvonen	M. Hirvonen
SS2	10:45	Capilla del Monte 1	22.95	CANCELLED	M. Hirvonen
SS3	11:22	San Marcos 1	19.23km	CANCELLED	M. Hirvonen
SS4	12:20	Villa Giardino 1	15.50km	CANCELLED	M. Hirvonen
SS5	12:51	Valle Hermoso 1	10.94km	CANCELLED	M. Hirvonen
SS6	13:32	Cosquin 1	11.27km	CANCELLED	M. Hirvonen
SS7	16:11	Capilla del Monte 2	22.95km	CANCELLED	M. Hirvonen
SS8	16:48	San Marcos 2	19.23km	CANCELLED	M. Hirvonen
SS9	19:05	Estadio Córdoba	2.40km	M. Hirvonen	M. Hirvonen
SS10	08:23	La Cumbre	18.70km	S. Loeb	S. Loeb
SS11	09:21	Ascochinga	23.28km	S. Loeb	S. Loeb
SS12	10:14	Villa Giardino 2	15.50km	S. Loeb	S. Loeb
SS13	10:45	Valle Hermoso 2	10.94km	S. Loeb	S. Loeb
SS14	11:26	Cosquin 2	11.27km	S. Loeb	S. Loeb
SS15	14:13	Santa Rosa 1	21.40km	M. Grönholm	S. Loeb
SS16	15:06	Las Bajadas	16.35km	S. Loeb	S. Loeb
SS17	15:52	Amboy	20.29km	S. Loeb	S. Loeb
SS18	16:57	Santa Rosa 2	21.40km	M. Grönholm	S. Loeb
SS19	08:19	Mina Clavero I	23.81km	S. Loeb	S. Loeb
SS20	09:52	El Condor 1	16.81km	D. Sordo	S. Loeb
SS21	10:39	Mina Clavero 2	24.45km	S. Loeb	S. Loeb
SS22	13:05	El Condor 2	16.81km	D. Sordo	S. Loeb
SS23	15:05	Estadio Córdoba 2	2.40km	S. Loeb	S. Loeb
