Tie no	Home team	Score	Away team	Date
1	Darlington	0–1	Colchester United	9 January 1979
2	Bristol City	3–1	Bolton Wanderers	9 January 1979
3	Preston North End	3–0	Derby County	16 January 1979
4	Leicester City	3–0	Norwich City	6 January 1979
5	Notts County	4–2	Reading	9 January 1979
6	Nottingham Forest	2–0	Aston Villa	10 January 1979
7	Blackburn Rovers	2–1	Millwall	10 January 1979
8	Sheffield Wednesday	1–1	Arsenal	6 January 1979
Replay	Arsenal	1–1	Sheffield Wednesday	9 January 1979
Replay	Sheffield Wednesday	2–2	Arsenal	15 January 1979
Replay	Arsenal	3–3	Sheffield Wednesday	17 January 1979
Replay	Sheffield Wednesday	0–2	Arsenal	22 January 1979
9	Middlesbrough	1–1	Crystal Palace	9 January 1979
Replay	Crystal Palace	1–0	Middlesbrough	15 January 1979
10	Sunderland	2–1	Everton	10 January 1979
11	Swindon Town	3–0	Cardiff City	9 January 1979
12	Shrewsbury Town	3–1	Cambridge United	6 January 1979
13	Wrexham	6–2	Stockport County	1 February 1979
14	Sheffield United	0–0	Aldershot	9 January 1979
Replay	Aldershot	1–0	Sheffield United	15 January 1979
15	Ipswich Town	3–2	Carlisle United	10 January 1979
16	Newcastle United	3–1	Torquay United	16 January 1979
17	Tottenham Hotspur	1–1	Altrincham	10 January 1979
Replay	Altrincham	0–3	Tottenham Hotspur	16 January 1979
18	Manchester City	0–0	Rotherham United	15 January 1979
Replay	Rotherham United	2–4	Manchester City	17 January 1979
19	Fulham	2–0	Queens Park Rangers	9 January 1979
20	Coventry City	2–2	West Bromwich Albion	9 January 1979
Replay	West Bromwich Albion	4–0	Coventry City	15 January 1979
21	Brighton & Hove Albion	2–3	Wolverhampton Wanderers	9 January 1979
22	Manchester United	3–0	Chelsea	15 January 1979
23	Wimbledon	0–2	Southampton	9 January 1979
24	Southend United	0–0	Liverpool	10 January 1979
Replay	Liverpool	3–0	Southend United	17 January 1979
25	Newport County	2–1	West Ham United	9 January 1979
26	Charlton Athletic	1–1	Maidstone United	9 January 1979
Replay	Maidstone United	1–2	Charlton Athletic	15 January 1979
27	York City	2–0	Luton Town	9 January 1979
28	Stoke City	0–1	Oldham Athletic	17 January 1979
29	Birmingham City	0–2	Burnley	6 January 1979
30	Orient	3–2	Bury	9 January 1979
31	Swansea City	0–1	Bristol Rovers	8 January 1979
32	Hartlepool United	2–6	Leeds United	18 January 1979
