Place	Population	Ceremonial County	Main Railway station	Motorway junction
Gerrards Cross / Chalfont St Peter	19,622	Buckinghamshire	Gerrards Cross	1
Beaconsfield	10,679	Buckinghamshire	Beaconsfield	2
High Wycombe Urban Area	118,229	Buckinghamshire	High Wycombe	3,4
Thame	10,886	Oxfordshire	Haddenham and Thame Parkway	7
Oxford	134,248	Oxfordshire	Oxford	8,8A
Bicester	28,672	Oxfordshire	Bicester North	9
Aylesbury Urban Area	69,021	Buckinghamshire	Aylesbury	8A,9
Banbury	43,867	Oxfordshire	Banbury	11
Leamington Spa	45,114	Warwickshire	Leamington Spa	15
Warwick	25,434	Warwickshire	Warwick	15
Stratford-upon-Avon	23,676	Warwickshire	Stratford-upon-Avon	15
