Game	Date	Opponent	Score	Location	Record
15	Sat. Dec. 1	@ Philadelphia 76ers	110-116	The Spectrum	12-3
16	Mon. Dec. 3	Seattle SuperSonics	135-102	Boston Garden	13-3
17	Wed. Dec. 5	Denver Nuggets	148-140	Boston Garden	14-3
18	Fri. Dec. 7	@ Dallas Mavericks	112-104	Reunion Arena	15-3
19	Sat. Dec. 8	@ San Antonio Spurs	96-102	HemisFair Arena	15-4
20	Mon. Dec. 10	@ Houston Rockets	107-95	The Summit	16-4
21	Wed. Dec. 12	Milwaukee Bucks	129-111	Boston Garden	17-4
22	Fri. Dec. 14	Detroit Pistons	108-100	Boston Garden	18-4
23	Sat. Dec. 15	@ Miami Heat	114-100	Miami Arena	19-4
24	Wed. Dec. 19	Philadelphia 76ers	115-105	Boston Garden	20-4
25	Thu. Dec. 20	@ Charlotte Hornets	115-96	Charlotte Coliseum	21-4
26	Sun. Dec. 23	Atlanta Hawks	132-104	Boston Garden	22-4
27	Wed. Dec. 26	Indiana Pacers	152-132	Boston Garden	23-4
28	Fri. Dec. 28	@ Atlanta Hawks	114-131	The Omni	23-5
