Rank	Stadium	Capacity	Location	County
1	Croke Park	82,300	Dublin	GAA HQ
2	Semple Stadium	53,500	Thurles	Tipperary GAA
3	Gaelic Grounds	49,866	Limerick	Limerick GAA
4	Páirc Uí Chaoimh	43,550	Cork	Cork GAA
5	Fitzgerald Stadium	43,180	Killarney	Kerry GAA
6	McHale Park	43,000	Castlebar	Mayo GAA
7	St Tiernach's Park	36,000	Clones	Monaghan GAA
8	Pearse Stadium	33,000	Galway	Galway GAA
9	Casement Park	32,500	Belfast	Antrim GAA
10	Breffni Park	32,000	Cavan	Cavan GAA
11	O'Moore Park	27,000	Portlaoise	Laois GAA
12	Healy Park	26,500	Omagh	Tyrone GAA
13	Nowlan Park	24,000	Kilkenny	Kilkenny GAA
14	Páirc an Cheiltigh	22,000	Derry	Derry GAA
15	Dr. Cullen Park	21,000	Carlow	Carlow GAA
16	O'Connor Park	20,000	Tullamore	Offaly GAA
16	Wexford Park	20,000	Wexford	Wexford GAA
16	Páirc Esler	20,000	Newry	Down GAA
16	Brewster Park	20,000	Enniskillen	Fermanagh GAA
20	Athletic Grounds	19,500	Armagh	Armagh GAA
21	Markievicz Park	19,000	Sligo	Sligo GAA
22	Dr. Hyde Park	18,500	Roscommon	Roscommon GAA
23	MacCumhail Park	18,000	Ballybofey	Donegal GAA
24	Walsh Park	17,000	Waterford	Waterford GAA
25	Páirc Uí Rinn	16,500	Cork	Cork GAA
26	Austin Stack Park	15,000	Tralee	Kerry GAA
26	Fraher Field	15,000	Dungarvan	Waterford GAA
28	Cusack Park (Ennis)	14,864	Ennis	Clare GAA
29	Parnell Park	13,500	Donnycarney , Dublin	Dublin GAA
30	Cusack Park (Mullingar)	11,000	Mullingar	Westmeath GAA
30	St Brendan's Park	11,000	Birr	Offaly GAA
32	O'Byrne Park	10,000	Wicklow	Wicklow GAA
32	Páirc Tailteann	10,000	Navan	Meath GAA
32	Pearse Park	10,000	Longford	Longford GAA
35	Páirc Seán Mac Diarmada	9,331	Carrick-on-Shannon	Leitrim GAA
36	St Jarlath's Park	6,700	Tuam	Galway GAA
37	St Conleth's Park	6,200	Newbridge	Kildare GAA
38	McKenna Park	5,000	Ballycran	Down GAA
38	Emerald GAA Grounds	5,000	Ruislip	London GAA
40	Shamrock Field	4,000	St John's	Canada GAA
41	Drogheda Park	3,500	Drogheda	Louth GAA
42	Gaelic Park	2,000	New York City	New York GAA
43	Páirc Phroinsías	1,000	Clara	Offaly GAA
