Season	Record	Pct.	Games	Attendance	Average	Sellouts
2011-12	13-3	.813	16	162,474	10,155	10
2010-11	15-1	.933	16	151,475	10,098	9
2009-10	15-0	1.000	15	151,843	10,123	7
2008-09	14-1	.933	15	151,456	10,097	11
2007-08	16-1	.941	17	170,133	10,008	9
2006-07	14-1	.933	15	148,650	9,910	5
2005-06	11-4	.733	15	146,615	9,775	4
2004-05	12-4	.750	16	160,429	10,027	7
2003-04	13-3	.813	16	158,432	9,902	8
2002-03	14-1	.933	15	152,714	10,181	14
2001-02	13-1	.929	14	143,129	10,224	13
2000-01	13-1	.929	14	141,011	10,072	12
