Date	Opponent	Score	Decision	Attendance	Record
November 2	San Jose Sharks	5 - 3	Budaj	15,452	5-6-0
November 3	@ Chicago Blackhawks	6 - 2	Budaj	21,142	5-7-0
November 6	Minnesota Wild	3 - 1	Budaj	14,562	5-8-0
November 8	Nashville Predators	1 - 0	Budaj	18,007	6-8-0
November 12	@ Vancouver Canucks	2 - 1	Budaj	18,630	7-8-0
November 15	@ Edmonton Oilers	3 - 2	Budaj	16,839	8-8-0
November 18	@ Calgary Flames	4 - 1	Budaj	19,289	8-9-0
November 20	Calgary Flames	1 - 0	Budaj	14,536	8-10-0
November 22	@ Los Angeles Kings	4 - 3	Budaj	18,118	9-10-0
November 24	Anaheim Ducks	4 - 1	Budaj	16,632	9-11-0
November 26	St. Louis Blues	3 - 1	Budaj	14,568	10-11-0
November 28	Phoenix Coyotes	2 - 1	Budaj	14,031	10-12-0
November 29	Tampa Bay Lightning	4 - 3	Raycroft	18,007	11-12-0
