Season	Series	Team	Races	Wins	Poles	Podiums	Points	Position
2005	Italian Formula Junior 1600	Tomcat Racing	12	5	3	10	268	1st
2005	Italian Formula Renault 2.0– Winter Series	Tomcat Racing	4	0	0	1	12	10th
2006	Italian Formula Renault 2.0	Tomcat Racing	12	0	0	0	0	36th
2006	Formula Renault 3.5 Series	Cram Competition	10	0	0	0	0	39th
2007	Formula Renault 3.5 Series	GD Racing	17	0	0	0	2	26th
2008	Formula Renault 3.5 Series	Comtec Racing	13	0	0	1	16	20th
2009	Formula Renault 3.5 Series	RC Motorsport	15	1	0	2	39	12th
2010	Italian Formula Three Championship	Alan Racing	4	0	0	0	0	30th
2010	Italian Formula Three Championship	RC Motorsport	4	0	0	0	0	30th
2011	Auto GP	Ombra Racing	14	0	0	0	38	12th
2012	World Touring Car Championship	bamboo-engineering	14	0	0	0	0	NC
