State	Name	Hometown	Age 1	Talent
Alabama	Jana Sanderson	Birmingham, AL	21	Vocal
Alaska	Audrey Solomon	Anchorage, AK	21	Classical Violin
Arizona	Kristen Vatt	Mesa, AZ	20	Character Dance
Arkansas	Sara Harris	Forrest City, AR	20	Vocal
California	Rita Ng	Tracy, CA	22	Classical Piano
Colorado	Anamarie Bonafede	Loveland, CO	22	Ballet
Connecticut	Renelle Richardson	Branford, CT	18	Tap Dance
Delaware	Junnie Cross	Dover, DE	20	Vocal
District of Columbia	Rashida Jolley	Washington, DC	20	Harp
Florida	Candace Rodatz	Orange Park, FL	24	Baton
Georgia	Pamela Kennedy	LaGrange, GA	23	Vocal
Hawaii	Angela Perez Baraquio	Honolulu, HI	24	Hula
Idaho	Christina Tiel	Nampa, ID	21	Classical Vocal
Illinois	Jennifer Powers	Andover, IL	21	Classical Vocal
Indiana	Betsy Bobel	Peru, IN	23	Gymnastics
Iowa	Theresa Uchytil	Urbandale, IA	24	Baton
Kansas	Amy Shaw	Derby, KS	22	Classical Piano
Kentucky	Whitney Boyles	Louisville, KY	22	Vocal
Louisiana	Faith Jenkins	Shreveport, LA	23	Vocal
Maine	Renee Belanger	Washburn, ME	22	Jazz Dance
Maryland	Sonia Amir	Beltsville, MD	24	Classical Piano
Massachusetts	Michelle Neves	New Bedford, MA	23	Vocal
Michigan	Che'Vonne Burton	Livonia, MI	22	Jazz Dance
Minnesota	Katherine Hill	Wayzata, MN	23	Vocal
Mississippi	Christy May	Pontotoc, MS	24	Piano
Missouri	Arron Wendel	Lawson, MO	23	Modern Dance
Montana	Jana Jo LaBree	Ekalaka, MT	24	Gospel Vocal
Nebraska	Jill Pennington	Omaha, NE	23	Vocal
Nevada	Tiffanie Story	Reno, NV	19	Vocal
New Hampshire	Lauren Meehan	Manchester, NH	19	Vocal
New Jersey	Jill Horner	Gloucester, NJ	21	Vocal
New Mexico	Martha Cobb	Roswell, NM	21	Tap Dance
New York	Kelly Falgiano	Lancaster, NY	21	Classical Piano
North Carolina	Lorna McNeill	Lumberton	24	Vocal
North Dakota	Carrie Haberstroh	Lisbon, ND	21	Classical Piano
Ohio	Stephanie Meisberger	Hopewell, OH	22	Vocal
Oklahoma	Krstin Steveson	Broken Arrow, OK	23	Classical Vocal
Oregon	Angela Brink	Roseburg, OR	22	Ballet
Pennsylvania	Melissa Jeka	Warminster, PA	23	Ballet
Rhode Island	Jennifer St Laurent	Warwick, RI	24	Vocal
South Carolina	Heather Hudson	Lexington, SC	22	Classical Vocal
South Dakota	Nicole Nigg	Sisseton, SD	24	Vocal
Tennessee	Beth Hood	Cleveland, TN	21	Vocal
Texas	Tara Watson	Lufkin, TX	22	Vocal
Utah	Jami Palmer	Tremonton, UT	20	Classical Piano
Vermont	Hannah Nelson	Ryegate Corner, VT	24	Vocal
Virginia	Jacqueline Cook	Colonial Heights, VA	24	Dance
Washington	Semmelle Ford	Tacoma, WA	19	Classical Vocal
West Virginia	Jodi Clark	Moundsville, WV	22	Ballet en Pointe
Wisconsin	Joya Zamora	Kenosha, WI	23	Vocal
Wyoming	Kimberly Wilkerson	Gillette, WY	24	Vocal
