Province	Prefecture	County	Tujia Population	% of China's Tujia Population
Chongqing	Same	Youyang	462,444	5.76%
Hunan	Zhangjiajie	Cili	399,906	4.98%
Hubei	Enshi	Lichuan	388,035	4.83%
Hunan	Changde	Shimen	387,480	4.83%
Guizhou	Tongren	Yanhe	383,499	4.78%
Chongqing	same	Shizhu	348,790	4.34%
Hunan	Xiangxi	Yongshun	342,570	4.27%
Hunan	Zhangjiajie	Yongding	319,330	3.98%
Guizhou	Tongren	Dejiang	300,432	3.74%
Hubei	Enshi	Xianfeng	276,394	3.44%
Hubei	Enshi	Enshi	270,753	3.37%
Chongqing	same	Qianjiang	261,327	3.26%
Hunan	Zhangjiajie	Sangzhi	260,092	3.24%
Hunan	Xiangxi	Longshan	251,007	3.13%
Guizhou	Tongren	Yinjiang	233,802	2.91%
Hubei	Enshi	Badong	212,424	2.65%
Hubei	Yichang	Changyang	211,129	2.63%
Chongqing	same	Xiushan	197,570	2.46%
Hubei	Yichang	Wufeng	174,546	2.17%
Hubei	Enshi	Jianshi	173,984	2.17%
Guizhou	Tongren	Sinan	160,089	1.99%
Hunan	Xiangxi	Baojing	148,291	1.85%
Hubei	Enshi	Hefeng	142,805	1.78%
Hubei	Enshi	Xuan'en	140,837	1.75%
Hunan	Xiangxi	Jishou	103,242	1.29%
Hunan	Huaihua	Yuanling	102,636	1.28%
Hubei	Enshi	Laifeng	93,471	1.16%
Guizhou	Tongren	Jiangkou	77,791	0.97%
Chongqing	same	Pengshui	74,591	0.93%
Guizhou	Tongren	Tongren	70,286	0.88%
Hunan	Xiangxi	Fenghuang	64,727	0.81%
Hunan	Xiangxi	Guzhang	47,162	0.59%
Guizhou	Zunyi	Wuchuan	46,253	0.58%
Hunan	Huaihua	Xupu	45,900	0.57%
Hunan	Zhangjiajie	Wulingyuan	41,910	0.52%
Hunan	Xiangxi	Luxi	40,643	0.51%
Other	—	—	771,985	9.62%
