Round	Team #1	Agg.	Team #2	1st leg	2nd leg
2007 UEFA Intertoto Cup	2007 UEFA Intertoto Cup	2007 UEFA Intertoto Cup	2007 UEFA Intertoto Cup	2007 UEFA Intertoto Cup	2007 UEFA Intertoto Cup
First round	Shakhtyor Soligorsk	4–3	Ararat Yerevan	4–1	0–2
Second round	Chernomorets Odessa	6–2	Shakhtyor Soligorsk	4–2	2–0
2007–08 UEFA Cup	2007–08 UEFA Cup	2007–08 UEFA Cup	2007–08 UEFA Cup	2007–08 UEFA Cup	2007–08 UEFA Cup
First qualifying round	Liepājas Metalurgs	3–2	Dinamo Brest	1–1	2–1
First qualifying round	Skonto Riga	1–3	Dinamo Minsk	1–1	0–2
Second qualifying round	Dinamo Minsk	1–5	Odense	1–1	0–4
First round	Villarreal	6–1	BATE Borisov	4–1	2–0
2007–08 UEFA Champions League	2007–08 UEFA Champions League	2007–08 UEFA Champions League	2007–08 UEFA Champions League	2007–08 UEFA Champions League	2007–08 UEFA Champions League
First qualifying round	APOEL Nicosia	2–3	BATE Borisov	2–0	0–3 ( aet )
Second qualifying round	Hafnarfjarðar	2–4	BATE Borisov	1–3	1–1
Thind qualifying round	BATE Borisov	2–4	Steaua Bucureşti	2–2	0–2
