Club	Position in 2012–13	First season in top division	Number of seasons in top division	Number of seasons in Premier League a	First season of current spell in top division	Top division titles	Last top division title
Borac b	003 3rd	1961–62	23	9	2008–09	1	2010–11
Čelik b,c	004 4th	1966–67	30	13	2000–01	3 d	1996–97
GOŠK (R)	015 15th	2011–12	2	2	2011–12	0	N/A
Gradina (R)	016 16th	2012–13	1	1	2012–13	0	N/A
Leotar b,c	008 8th	2002–03	11	11	2002–03	1	2002–03
Olimpic	005 5th	2000–01	6	6	2009–10	0	N/A
Radnik	012 12th	2006–07	3	3	2012–13	1 e	1998–99
Rudar	011 11th	2009–10	4	4	2009–10	0	N/A
Sarajevo b,c	002 2nd	1947–48	55	13	1958–59	4 f	2006–07
Slavija	007 7th	1930	17	9	2004–05	0	N/A
Široki Brijeg b,c	006 6th	2000–01	13	13	2000–01	6 g	2005–06
Travnik	014 14th	2000–01	10	10	2007–08	0	N/A
Velež b	013 13th	1952–53	48	10	2006–07	0	N/A
Zrinjski b,c	009 9th	2000–01	13	13	2000–01	2	2008–09
Zvijezda	010 10th	2008–09	5	5	2008–09	0	N/A
