Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race time	Average speed (mph)	Report
1969	June 15	Cale Yarborough	Wood Brothers Racing	Mercury	250	500 (804.672)	3:35:26	139.254	Report
1970	June 7	Cale Yarborough	Wood Brothers Racing	Mercury	200	400 (643.737)	2:53:02	138.302	Report
1971	June 13	Bobby Allison	Holman-Moody	Mercury	197	401.88 (646.763)	2:41:13	149.567	Report
1972	June 11	David Pearson	Wood Brothers Racing	Mercury	200	400 (643.737)	2:43:40	146.639	Report
1973	June 24	David Pearson	Wood Brothers Racing	Mercury	200	400 (643.737)	2:36:22	153.485	Report
1974	June 16	Richard Petty	Petty Enterprises	Dodge	180*	360 (579.363)	2:48:46	127.098	Report
1975	June 15	David Pearson	Wood Brothers Racing	Mercury	200	400 (643.737)	3:02:39	131.398	Report
1976	June 20	David Pearson	Wood Brothers Racing	Mercury	200	400 (643.737)	2:50:02	141.148	Report
1977	June 19	Cale Yarborough	Junior Johnson & Associates	Chevrolet	200	400 (643.737)	2:57:44	135.033	Report
1978	June 18	Cale Yarborough	Junior Johnson & Associates	Oldsmobile	200	400 (643.737)	2:40:28	149.563	Report
1979	June 17	Buddy Baker	Ranier-Lundy	Chevrolet	200	400 (643.737)	2:56:44	135.798	Report
1980	June 15	Benny Parsons	M.C. Anderson Racing	Chevrolet	200	400 (643.737)	3:02:05	131.808	Report
1981	June 21	Bobby Allison	Ranier-Lundy	Buick	200	400 (643.737)	3:03:47	130.589	Report
1982	June 20	Cale Yarborough	M.C. Anderson Racing	Buick	200	400 (643.737)	3:23:13	118.101	Report
1983	June 19	Cale Yarborough	Ranier-Lundy	Chevrolet	200	400 (643.737)	2:53:00	138.728	Report
1984	June 17	Bill Elliott	Melling Racing	Ford	200	400 (643.737)	2:58:10	134.705	Report
1985	June 16	Bill Elliott	Melling Racing	Ford	200	400 (643.737)	2:45:48	144.724	Report
1986	June 15	Bill Elliott	Melling Racing	Ford	200	400 (643.737)	2:53:21	138.851	Report
1987	June 28	Dale Earnhardt	Richard Childress Racing	Chevrolet	200	400 (643.737)	2:41:40	148.454	Report
1988	June 26	Rusty Wallace	Blue Max Racing	Pontiac	200	400 (643.737)	2:36:18	153.551	Report
1989	June 25	Bill Elliott	Melling Racing	Ford	200	400 (643.737)	2:52:38	139.023	Report
1990	June 24	Dale Earnhardt	Richard Childress Racing	Chevrolet	200	400 (643.737)	2:39:46	150.219	Report
1991	June 23	Davey Allison	Robert Yates Racing	Ford	200	400 (643.737)	2:29:09	160.912	Report
1992	June 21	Davey Allison	Robert Yates Racing	Ford	200	400 (643.737)	2:37:12	152.672	Report
1993	June 20	Ricky Rudd	Hendrick Motorsports	Chevrolet	200	400 (643.737)	2:41:38	148.484	Report
1994	June 19	Rusty Wallace	Penske Racing	Ford	200	400 (643.737)	3:11:58	125.022	Report
1995	June 18	Bobby Labonte	Joe Gibbs Racing	Chevrolet	200	400 (643.737)	2:58:58	134.141	Report
1996	June 23	Rusty Wallace	Penske Racing	Ford	200	400 (643.737)	2:24:23	166.033	Report
1997	June 15	Ernie Irvan	Robert Yates Racing	Ford	200	400 (643.737)	2:36:31	153.338	Report
1998	June 14	Mark Martin	Roush Racing	Ford	200	400 (643.737)	2:31:14	158.695	Report
1999	June 13	Dale Jarrett	Robert Yates Racing	Ford	200	400 (643.737)	2:17:56	173.997	Report
2000	June 11	Tony Stewart	Joe Gibbs Racing	Pontiac	194*	388 (624.425)	2:41:45	143.926	Report
2001	June 10	Jeff Gordon	Hendrick Motorsports	Chevrolet	200	400 (643.737)	2:58:50	134.203	Report
2002	June 16	Matt Kenseth	Roush Racing	Ford	200	400 (643.737)	2:35:01	154.822	Report
2003	June 15	Kurt Busch	Roush Racing	Ford	200	400 (643.737)	3:02:54	131.219	Report
2004	June 20	Ryan Newman	Penske Racing	Dodge	200	400 (643.737)	2:52:18	139.292	Report
2005	June 19	Greg Biffle	Roush Racing	Ford	200	400 (643.737)	2:39:22	150.596	Report
2006	June 18	Kasey Kahne	Evernham Motorsports	Dodge	129*	258 (415.210)	2:10:19	118.788	Report
2007	June 17	Carl Edwards	Roush Fenway Racing	Ford	200	400 (643.737)	2:42:05	148.07	Report
2008	June 15	Dale Earnhardt, Jr.	Hendrick Motorsports	Chevrolet	203*	406 (653.393)	2:47:34	145.375	Report
2009	June 14	Mark Martin	Hendrick Motorsports	Chevrolet	200	400 (643.737)	2:34:21	155.491	Report
2010	June 13	Denny Hamlin	Joe Gibbs Racing	Toyota	200	400 (643.737)	2:33:28	156.386	Report
2011	June 19	Denny Hamlin	Joe Gibbs Racing	Toyota	200	400 (643.737)	2:36:50	153.029	Report
2012	June 17	Dale Earnhardt, Jr.	Hendrick Motorsports	Chevrolet	200	400 (643.737)	2:52:29	139.144	Report
