Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Tumble RFC	22	20	0	2	662	291	92	38	12	0	92
Pontarddulais RFC	22	16	0	6	631	375	85	43	12	3	79
Tenby United RFC	22	16	0	6	584	388	70	47	11	2	77
Cefneithin RFC	22	16	0	6	534	386	71	51	9	2	75
Milford Haven RFC	22	11	0	11	571	433	82	60	9	6	59
Amman United RFC	22	11	0	11	565	567	77	78	10	3	57
Betws RFC	22	11	0	11	415	521	55	67	5	4	53
Hendy RFC	22	7	0	15	398	571	50	81	4	4	36
Trimsaran RFC	22	5	1	16	353	493	39	68	3	10	35
Pembroke Dock Harlequins RFC	22	7	0	15	324	578	39	76	2	3	33
Pembroke RFC	22	6	0	16	335	576	47	73	5	3	32
Burry Port RFC	22	5	1	16	380	573	47	72	3	6	31
