Date	Venue	Score	Result	Competition
15 November 1989	Müngersdorfer Stadion , Cologne , Germany	2–1	2–1	FIFA World Cup 1990 qualifying
18 December 1991	Ulrich-Haberland-Stadion , Leverkusen , Germany	4–0	4–0	UEFA Euro 1992 qualifying
22 April 1992	Stadion Eden , Prague , Czechoslovakia	1–0	1–1	Friendly
12 June 1992	Idrottsparken , Norrköping , Sweden	1–1	1–1	UEFA Euro 1992
21 June 1992	Råsunda Stadium , Stockholm , Sweden	1–0	3–2	UEFA Euro 1992
20 December 1992	Estadio Centenario , Montevideo , Uruguay	3–0	4–1	Friendly
23 June 1995	Wankdorf Stadium , Bern , Switzerland	1–0	2–1	Friendly
15 November 1995	Olympic Stadium , Berlin , Germany	2–1	3–1	UEFA Euro 1996 qualifying
9 October 1996	Hrazdan Stadium , Yerevan , Armenia	1–0	5–1	FIFA World Cup 1998 qualifying
9 October 1996	Hrazdan Stadium, Yerevan, Armenia	3–0	5–1	FIFA World Cup 1998 qualifying
10 September 1997	Westfalenstadion , Dortmund , Germany	3–0	4–0	FIFA World Cup 1998 qualifying
