Tournament	Surface	Week	Winner	Finalist	Semifinalists
Indian Wells	Hard	March 6	Roger Federer (1) 7–5, 6–3, 6–0	James Blake (12)	Paradorn Srichaphan Rafael Nadal (2)
Miami	Hard	March 20	Roger Federer (1) 7–6(5), 7–6(4), 7–6(6)	Ivan Ljubičić (6)	David Ferrer (11) David Nalbandian (3)
Monte Carlo	Clay	April 17	Rafael Nadal (2) 6–2, 6–7(2), 6–3, 7–6(5)	Roger Federer (1)	Fernando González (12) Gastón Gaudio (7)
Rome	Clay	May 8	Rafael Nadal (2) 6–7(0), 7–6(5), 6–4, 2–6, 7–6(5)	Roger Federer (1)	David Nalbandian Gaël Monfils
Hamburg	Clay	May 15	Tommy Robredo 6–1, 6–3, 6–3	Radek Štěpánek	Mario Ančić José Acasuso
Canada (Toronto)	Hard	August 7	Roger Federer 2–6, 6–3, 6–2	Richard Gasquet	Fernando González Andy Murray
Cincinnati	Hard	August 14	Andy Roddick 6–3, 6–4	Juan Carlos Ferrero	Fernando González Tommy Robredo
Madrid	Hard (i)	October 16	Roger Federer 7–5, 6–1, 6–0	Fernando González	David Nalbandian Tomáš Berdych
Paris	Carpet (i)	October 30	Nikolay Davydenko (4) 6–1, 6–2, 6–2	Dominik Hrbatý (17)	Tommy Robredo Tommy Haas
Shanghai ( TMC )	Carpet (i)	November 12	Roger Federer 6–0, 6–3, 6–4	James Blake	Rafael Nadal David Nalbandian
