Series Ep #	Title	Director	Writer(s)	Original Airdate	Production Code
1	"Pilot" "In the Beginning"	Sergio Mimica-Gezzan	Nancy Miller	July23,2007	101
2	"Bring it On, Earl"	Guy Ferland	Nancy Miller	July30,2007	102
3	"Bless Me Father, For I Have Sinned"	Dean White	Joseph Dougherty	August6,2007	103
4	"Keep Your Damn Wings Off My Nephew"	Sergio Mimica-Gezzan	Roger Wolfson	August13,2007	104
5	"Would You Want Me to Tell You?"	David Von Ancken	Hans Tobeason	August20,2007	105
6	"And You Wonder Why I Lie"	Gloria Muzio	Annie Brunner	August27,2007	106
7	"Yeehaw, Geepaw"	Artie Mandelberg	Denitria Harris-Lawrence	September3,2007	107
8	"Everything's Got a Shelf Life"	Artie Mandelberg	Talicia Raggs	September10,2007	108
9	"A Language of Angels"	Tricia Brock	Mark Israel	September17,2007	109
10	"It's Better When I Can See You"	Artie Mandelberg	Joseph Dougherty Roger Wolfson	December3,2007	110
11	"This is Way Too Normal for You"	Tom McLoughlin	Annie Brunner Hans Tobeason	December10,2007	111
12	"Is There a Scarlet Letter on My Breast?"	Guy Ferland	Mark Israel Denitria Harris-Lawrence	December17,2007	112
