Place	Player	Country	Score	To par
1	Tiger Woods	United States	66-67=133	−11
2	Colin Montgomerie	Scotland	71-66=137	−7
T3	Robert Allenby	Australia	70-68=138	−6
T3	Brad Faxon	United States	72-66=138	−6
T3	Trevor Immelman	South Africa	68-70=138	−6
T3	Peter Lonard	Australia	68-70=138	−6
T3	José María Olazábal	Spain	68-70=138	−6
T3	Vijay Singh	Fiji	69-69=138	−6
T3	Scott Verplank	United States	68-70=138	−6
T10	Bart Bryant	United States	69-70=139	−5
T10	Fred Couples	United States	68-71=139	−5
T10	Sergio García	Spain	70-69=139	−5
T10	Simon Khan	England	69-70=139	−5
T10	Bo Van Pelt	United States	72-67=139	−5
