Club	Played	Drawn	Lost	Points for	Points against	Tries For	Tries Against	Try Bonus	Losing Bonus	Points
Club	Played	Drawn	Lost	Points for	Points against	Tries For	Tries Against	Try Bonus	Losing Bonus	Points
Caerau Ely RFC	1	0	0	28	13	5	1	1	0	5
Pontrhydyfen RFC	1	0	0	38	3	4	0	1	0	5
Cardiff Saracens RFC	1	0	0	34	8	4	1	1	0	5
Cambrian Welfare RFC	1	0	0	35	10	4	2	1	0	5
Clwb Rygbi Cymru Caerdydd RFC	1	0	0	10	8	1	1	0	0	4
Glyncoch RFC	1	0	1	8	10	1	1	0	1	1
Ynysowen RFC	1	0	1	13	28	1	5	0	0	0
Llanrumney RFC	1	0	1	10	35	2	4	0	0	0
Llandrindod Wells RFC	1	0	1	8	34	1	4	0	0	0
Aberavon Naval RFC	1	0	1	3	38	0	4	0	0	0
Correct as of 6 September 2010	Correct as of 6 September 2010	Correct as of 6 September 2010	Correct as of 6 September 2010	Correct as of 6 September 2010	Correct as of 6 September 2010	Correct as of 6 September 2010	Correct as of 6 September 2010	Correct as of 6 September 2010	Correct as of 6 September 2010	Correct as of 6 September 2010
