Institution	Location	Founded	Type	Joined	Nickname	Colors
Boston University	Boston, MA	1839	Private	1973	Terriers	Scarlet & White
University of Connecticut	Storrs, CT	1881	Public	1946	Huskies	National Flag Blue & White
University of Delaware	Newark, DE	1743	Private and Public	1986	Fightin' Blue Hens	Royal Blue & Gold
College of the Holy Cross	Worcester, MA	1843	Private	1971	Crusaders	Purple & White
James Madison University	Harrisonburg, VA	1908	Public	1993	Dukes	Purple & Gold
University of Maine	Orono, ME	1865	Public	1946	Black Bears	Dark Blue & Light Blue
University of Massachusetts Amherst	Amherst, MA	1863	Public	1946	Aggies/Redmen/Minutemen	Maroon & White
University of New Hampshire	Durham, NH	1866	Public	1946	Wildcats	UNH Blue & White
Northeastern University	Boston, MA	1898	Private	1993	Huskies	Black & Red
University of Rhode Island	Kingston, RI	1892	Public	1946	Rams	Keaney blue, White, & Navy Blue
University of Richmond	Richmond, VA	1830	Private	1986	Spiders	UR Blue & UR Red
University of Vermont	Burlington, VT	1791	Public	1946	Catamounts	Green & Gold
Villanova University	Villanova, PA	1842	Private	1988	Wildcats	Blue & White
The College of William & Mary	Williamsburg, VA	1693	Public	1993	Tribe	Green & Gold
