No.	Name	Place of Birth	Date of Birth	Previous Club	Date Joined	Fee	Contract Expiry
1	Ben Williams	Manchester	27 August 1982	Carlisle United	10 July 2009	£60,000	May 2012
2	Conor Powell	Dublin	26 August 1987	Bohemians	6 January 2011	Free	May 2011 *
3	Lee Beevers	Doncaster	4 December 1983	Lincoln City	29 June 2009	Free	May 2011 *
4	Magnus Okuonghae	Croydon	16 February 1986	Dagenham & Redbridge	1 July 2009	£65,000	May 2012
5	Pat Baldwin	London	12 November 1982	Chelsea	31 August 2002	Free	May 2012
7	Ashley Vincent	Birmingham	26 May 1985	Cheltenham Town	1 July 2009	Free	May 2012
8	John-Joe O'Toole	Harrow	30 September 1988	Watford	1 January 2010	£275,000	May 2012
10	Kemal Izzet	Whitechapel	29 September 1980	Charlton Athletic	13 April 2001	Free	May 2012
11	Simon Hackney	Manchester	5 February 1984	Carlisle United	26 January 2009	£100,000	May 2011 *
12	Mark Cousins	Chelmsford	9 January 1987	Youth Team	1 July 2004	Free	May 2011
14	Andrew Bond	Wigan	16 March 1986	Barrow	18 July 2010	Free	May 2012
15	Kayode Odejayi	Ibadan	21 February 1982	Barnsley	1 January 2010	Undisclosed	May 2012
16	Ian Henderson	Thetford	24 January 1985	Ankaragücü	6 January 2010	Free	May 2011
17	David Perkins	Heysham	21 June 1982	Rochdale	8 July 2008	£150,000	May 2011
18	Steven Gillespie	Liverpool	4 June 1985	Cheltenham Town	7 July 2008	£400,000	May 2011
20	Brian Wilson	Manchester	9 May 1983	Bristol City	15 July 2010	Free	Unknown
21	Medy Elito	Kinshasa	20 March 1990	Youth Team	1 July 2007	Free	May 2011 *
22	Anthony Wordsworth	Camden	3 January 1989	Youth Team	1 July 2006	Free	May 2013
24	Ben Coker	Kettering	1 July 1990	Bury Town	23 July 2010	Free	May 2012
25	John White	Colchester	26 July 1986	Youth Team	1 July 2003	Free	May 2011
26	Lloyd James	Bristol	16 February 1988	Southampton	22 July 2010	Free	Unknown
28	Matt Heath	Leicester	1 November 1981	Leeds United	13 May 2008	Free	May 2012
30	Morten Knudsen	Notodden	27 October 1986	Notodden FK	19 January 2010	Free	May 2011 *
32	Sam Corcoran	Enfield	5 February 1991	Youth Team	1 July 2008	Free	May 2011 *
33	Jordan Sanderson	London	7 August 1993	Youth Team	11 February 2011	Free	May 2012
34	Thomas Bender	Harlow	19 January 1993	Youth Team	1 July 2009	Free	May 2012
