Ship	Original Pennant Number	Builder	Laid Down	Launched	Commissioned
HMCSChaleur(MCB 144)	MCB 144	Port Arthur Shipbuilding , Port Arthur	8 Jun 1951	21 Jun 1952	18 Jun 1954
HMCSChaleur(MCB 164)	MCB 164	Marine Industries , Sorel	20 Feb 1956	11 May 1957	12 Sep 1957
HMCSChignecto(MCB 156)	MCB 156	Marine Industries , Sorel	4 Jun 1951	13 Jun 1952	1 Dec 1953
HMCSChignecto(MCB 160)	MCB 160	Davie Shipbuilding , Lauzon	25 Oct 1955	17 Nov 1956	1 Aug 1957
HMCSComox(MCB 146)	MCB 146	Victoria Machinery Depot , Victoria	8 Jun 1951	24 Apr 1952	2 Apr 1954
HMCSCowichan(MCB 147)	MCB 147	Victoria Machinery Depot , Victoria	20 Jun 1951	12 Nov 1951	10 Dec 1953
HMCSCowichan(MCB 162)	MCB 162	Yarrows Shipbuilding , Esquimalt	10 Jul 1956	26 Feb 1957	12 Dec 1957
HMCSFortune(MCB 151)	MCB 151	Victoria Machinery Depot , Victoria	24 Apr 1952	14 Apr 1953	3 Nov 1954
HMCSFundy(MCB 145)	MCB 145	Saint John Drydock and Shipbuilding , Saint John	19 Jun 1951	9 Dec 1953	19 Mar 1954
HMCSFundy(MCB 159)	MCB 159	Davie Shipbuilding , Lauzon	7 Mar 1955	14 Jun 1956	27 Nov 1956
HMCSGaspe(MCB 143)	MCB 143	Davie Shipbuilding , Lauzon	21 Mar 1951	12 Nov 1951	5 Dec 1953
HMCSJames Bay(MCB 152)	MCB 152	Yarrows Shipbuilding , Esquimalt	16 Aug 1951	12 Mar 1953	3 May 1954
HMCSMiramichi(MCB 150)	MCB 150	Saint John Drydock and Shipbuilding , Saint John	13 Jun 1952	4 May 1954	30 Jul 1954
HMCSMiramichi(MCB 163)	MCB 163	Victoria Machinery Depot , Victoria	2 Feb 1956	22 Feb 1957	29 Oct 1957
HMCSQuinte(MCB 149)	MCB 149	Port Arthur Shipbuilding , Port Arthur	14 Jun 1952	8 Aug 1953	15 Oct 1954
HMCSResolute(MCB 154)	MCB 154	Kingston Shipbuilding , Kingston	29 Feb 1951	20 Jun 1953	16 Sep 1954
HMCSThunder(MCB 153)	MCB 153	Canadian Vickers , Montreal	17 May 1951	17 Jul 1952	15 Dec 1953
HMCSThunder(MCB 161)	MCB 153	Port Arthur Shipbuilding , Port Arthur	1 Sep 1955	27 Oct 1956	3 Oct 1957
HMCSTrinity(MCB 157)	MCB 157	Davie Shipbuilding , Lauzon	31 Jan 1952	31 Jul 1953	16 Jun 1954
HMCSUngava(MCB 148)	MCB 148	Davie Shipbuilding , Lauzon	17 Dec 1951	20 May 1953	4 Jun 1954
