Title	Genre	C=64	ZX Spectrum	Others	Year	Format
Goodness Gracious	Arcade	C64	N/A	N/A	1983	Tape
Kriegspiel	Strategy	N/A	N/A	Dragon 32	1983	Tape
Space Station Zebra	Arcade	N/A	ZX Spectrum	N/A	1983	Tape
Up Periscope	Strategy	N/A	N/A	Dragon 32	1983	Tape
Ankh	Puzzle	C64	N/A	N/A	1984	Tape
Aztec	Arcade	C64	N/A	N/A	1984	Tape
Lords of Midnight	Graphic Adventure	C64	ZX Spectrum	Amstrad CPC	1984	Tape, Disk
Mr. Robot	Arcade	C64	N/A	N/A	1984	Tape
My Chess II	Board Game	C64	N/A	N/A	1984	Tape, Disk
Psytron	Tactical Combat	C64	ZX Spectrum	N/A	1984	Tape
Spellbound	Arcade	N/A	ZX Spectrum	N/A	1984	Tape
Spy vs. Spy	Arcade	C64	ZX Spectrum	Amstrad CPC	1984	Tape
Bounces	Arcade	C64	ZX Spectrum	N/A	1985	Tape
Doomdark's Revenge	Graphic Adventure	C64	ZX Spectrum	Amstrad CPC	1985	Tape
Psi Warrior	Arcade	C64	N/A	N/A	1985	Tape
Shadowfire	Tactical Combat	C64	ZX Spectrum	Amstrad CPC	1985	Tape
Shadowfire Tuner	Game Editor	C64	ZX Spectrum	N/A	1985	Tape
Sorderon's Shadow	Graphic Adventure	N/A	ZX Spectrum	N/A	1985	Tape
Quake Minus One	RTS	C64	N/A	N/A	1985	Tape
Superman: The Game	Arcade/Strategy	C64	N/A	N/A	1985	Tape
Enigma Force	Tactical Combat	C64	ZX Spectrum	N/A	1986	Tape
Dante's Inferno	Arcade Adventure	C64	N/A	N/A	1986	Tape
Infodroid	Arcade	C64	N/A	N/A	1986	Tape
Romper Room	Educational	C64	ZX Spectrum	N/A	1986	Tape
