Name	#	Position	Height	Weight ( lb. )	Year	Hometown	Previous School
Chase Adams Category:Articles with hCards	3	Guard	ft10in (m)	190	2 Senior	Baltimore , MD	Centenary / Mount Saint Joseph HS
Gilbert Brown Category:Articles with hCards *	5	Guard/Forward	ft6in (m)	200	2 Junior ( RS )	Harrisburg , PA	South Kent School
Jermaine Dixon Category:Articles with hCards	24	Guard	ft3in (m)	200	3 Senior, Transfer	Baltimore, MD	Tallahassee CC / Maine Central Inst / Blake HS
Tim Frye Category:Articles with hCards	44	Guard	ft4in (m)	205	2 Junior	Mars , PA	Mars Area HS
Ashton Gibbs Category:Articles with hCards	12	Guard	ft2in (m)	190	1 Sophomore	Scotch Plains , NJ	Seton Hall Prep
Gary McGhee Category:Articles with hCards	52	Center	ft10in (m)	250	2 Junior	Anderson , IN	Highland HS
Dwight Miller Category:Articles with hCards	25	Forward	ft8in (m)	240	1 Freshman (RS)	Nassau , Bahamas	St. Pius X HS
Lamar Patterson Category:Articles with hCards	21	Guard/Forward	ft5in (m)	220	1 Freshman	Lancaster , PA	St. Benedict's Prep / J.P. McCaskey H.S.
J.J. Richardson Category:Articles with hCards	55	Forward	ft7in (m)	235	1 Freshman	Missouri City , TX	Fort Bend Hightower HS
Nick Rivers Category:Articles with hCards	14	Guard	ft0in (m)	180	1 Junior	Phoenix , AZ	Brophy College Prep
Nasir Robinson Category:Articles with hCards	35	Forward	ft5in (m)	220	1 Sophomore	Chester , PA	Chester HS
Dante Taylor Category:Articles with hCards	11	Forward	ft9in (m)	240	1 Freshman	Greenburgh , NY	National Christian Academy (MD)
Brad Wanamaker Category:Articles with hCards	22	Guard	ft4in (m)	210	2 Junior	Philadelphia , PA	Roman Catholic HS
Travon Woodall Category:Articles with hCards	1	Guard	ft11in (m)	190	1 Freshman (RS)	Brooklyn , NY	St. Anthony HS
