Company	ICB Sector	Ticker symbol	Index weighting (%) at 17 January 2013	Market cap. at April 2013 (€)
Accor	hotels	AC	0.65	6.02
Air Liquide	commodity chemicals	AI	4.08	29.49
Alstom	industrial machinery	ALO	0.96	9.40
ArcelorMittal	steel	MT	1.69	15.4
AXA	full line insurance	CS	3.40	31.45
BNP Paribas	banks	BNP	6.24	48.78
Bouygues	heavy construction	EN	0.60	6.57
Capgemini	computer services	CAP	0.70	5.56
Carrefour	food retailers and wholesalers	CA	1.54	14.67
Crédit Agricole	banks	ACA	1.02	15.65
EADS	aerospace	EAD	1.89	31.82
EDF	electricity	EDF	0.57	28.78
Essilor	medical supplies	EI	2.05	17.74
Gemalto	cyber security	GTO	0.76	5.86
GDF Suez	gas distribution	GSZ	2.84	37.22
Groupe Danone	food products	BN	4.07	34.37
L'Oréal	personal products	OR	3.65	73.48
Lafarge	building materials and fixtures	LG	1.25	13.83
Legrand	electrical components and equipment	LR	1.14	8.74
LVMH	clothing and accessories	MC	5.02	65.95
Michelin	tires	ML	1.85	11.56
Orange	telecommunications	ORA	2.27	20.44
Pernod Ricard	distillers and vintners	RI	2.52	25.04
PPR	broadline retailers	PP	1.64	20.85
Publicis	media agencies	PUB	1.19	11.15
Renault	automobiles	RNO	1.10	14.67
Safran	aerospace and defence	SAF	1.08	14.37
Saint-Gobain	building materials and fixtures	SGO	1.78	14.57
Sanofi	pharmaceuticals	SAN	12.19	102.87
Schneider Electric	electrical components and equipment	SU	4.04	33.14
Société Générale	banks	GLE	3.04	19.82
Solvay	chemicals	SOLB	0.94	8.54
STMicroelectronics	semiconductors	STM	0.54	5.25
Technip	oil equipment and services	TEC	1.18	9.24
Total	integrated oil and gas	FP	11.96	86.94
Unibail-Rodamco	real estate investment trusts	UL	2.31	16.80
Vallourec	industrial machinery	VK	0.58	4.56
Veolia Environnement	water	VIE	0.44	5.01
Vinci	heavy construction	DG	2.42	20.34
Vivendi	broadcasting and entertainment	VIV	2.77	21.32
