Name	GP-GS	Gain	Loss	Long	Avg/G
Charles Scott	13–13	1208	34	56	90.3
Keiland Williams	13–0	444	27	25	32.1
Richard Murphy	13–0	202	16	12	14.3
Jordan Jefferson	7–2	211	77	20	19.1
Andrew Hatch	6–3	175	46	20	21.5
Trindon Holliday	13–0	131	17	39	8.8
Stevan Ridley	13–0	92	0	18	7.1
Quinn Johnson	13–10	30	2	5	2.2
Josh Jasper	13–0	7	0	7	0.5
Brandon LaFell	13–12	6	0	4	0.5
Jared Mitchell	12–0	0	4	0	−0.3
TEAM	7–0	0	18	0	−2.6
Jarrett Lee	11–8	4	101	4	−8.8
Total	13	2510	342	56	166.8
Opponents	13	1751	319	68	110.2
