Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1998	Courage Compétition	Henri Pescarolo Olivier Grouillard	LMP1	304	15th	4th
1999	Team DAMS	Christophe Tinseau David Terrien	LMP	77	DNF	DNF
2000	Team DAMS	Éric Bernard Emmanuel Collard	LMP900	300	19th	9th
2001	Viper Team Oreca	Yannick Dalmas Stéphane Sarrazin	LMP900	126	DNF	DNF
2002	PlayStation Team Oreca	Stéphane Sarrazin Nicolas Minassian	LMP900	359	6th	5th
2005	Audi PlayStation Team Oreca	Jean-Marc Gounon Stéphane Ortelli	LMP1	362	4th	4th
2006	Pescarolo Sport	Sébastien Loeb Eric Hélary	LMP1	376	2nd	2nd
2008	Peugeot Sport Total	Ricardo Zonta Christian Klien	LMP1	379	3rd	3rd
2009	Team Peugeot Total	Sébastien Bourdais Stéphane Sarrazin	LMP1	381	2nd	2nd
2010	Team Peugeot Total	Nicolas Minassian Stéphane Sarrazin	LMP1	264	DNF	DNF
2011	Peugeot Sport Total	Stéphane Sarrazin Nicolas Minassian	LMP1	353	3rd	3rd
2012	OAK Racing	Dominik Kraihamer Bertrand Baguette	LMP1	219	DNF	DNF
