City	Korean	Hanja	Province	Population (2010)
Seoul	서울	서울	Special city	9,794,304
Busan	부산	釜山	Metropolitan city	3,414,950
Incheon	인천	仁川	Metropolitan city	2,662,509
Daegu	대구	大邱	Metropolitan city	2,446,418
Daejeon	대전	大田	Metropolitan city	1,501,859
Gwangju	광주	光州	Metropolitan city	1,469,293
Ulsan	울산	蔚山	Metropolitan city	1,082,567
Suwon	수원	水原	Gyeonggi	1,071,913
Changwon	창원	昌原	South Gyeongsang	1,058,021
Seongnam	성남	城南	Gyeonggi	949,964
Goyang	고양	高陽	Gyeonggi	905,076
Yongin	용인	龍仁	Gyeonggi	856,765
Bucheon	부천	富川	Gyeonggi	853,039
Ansan	안산	安山	Gyeonggi	728,775
Cheongju	청주	淸州	North Chungcheong	666,924
Jeonju	전주	全州	North Jeolla	649,728
Anyang	안양	安養	Gyeonggi	602,122
Cheonan	천안	天安	South Chungcheong	574,623
Namyangju	남양주	南楊州	Gyeonggi	529,898
Pohang	포항	浦項	North Gyeongsang	511,390
