Player	Nationality	Position	Years in Orlando	School/Club Team
Corey Maggette	United States	Guard-Forward	1999–2000	Duke
Vernon Maxwell	United States	Guard	1997	Florida
Amal McCaskill	United States	Forward-Center	1996–1997	Marquette
Tracy McGrady	United States	Guard-Forward	2000–2004	Mt. Zion Christian Academy
Mark McNamara	United States	Forward-Center	1990–1991	California
Ron Mercer	United States	Guard-Forward	2000	Kentucky
Darko Miličić	Serbia	Center	2006–2007	KK Hemofarm ( Serbia )
Mike Miller	United States	Forward	2000–2003	Florida
Cuttino Mobley	United States	Guard	2004–2005	Rhode Island
Terence Morris	United States	Forward	2005–2006	Maryland
