Fighter	Fights of the Night	Knockouts of the Night	Submissions of the Night	Awards Total	Status
Joe Lauzon	5	1	6	12	Active
Anderson Silva	3	7	2	12	Active
Chris Lytle	6	1	3	10	Retired
Nate Diaz	5	0	5	10	Active
Frankie Edgar	7	1	0	8	Active
Clay Guida	5	0	3	8	Active
Sam Stout	6	1	0	7	Active
Wanderlei Silva	5	2	0	7	Active
Diego Sanchez	6	0	0	6	Active
Forrest Griffin	5	0	1	6	Retired
Tyson Griffin	5	0	1	6	Left the UFC
Carlos Condit	4	2	0	6	Active
Tito Ortiz	4	1	1	6	Left the UFC
Joe Stevenson	4	0	2	6	Left the UFC
Donald Cerrone	3	2	1	6	Active
Jon Jones	3	1	2	6	Active
Jim Miller	3	0	3	6	Active
Chris Leben	2	4	0	6	Active
Brad Pickett	4	1	0	5	Active
Matt Wiman	4	0	1	5	Active
Quinton Jackson	3	2	0	5	Left the UFC
Marcus Davis	3	1	1	5	Left the UFC
Georges St-Pierre	3	1	1	5	Active
Kenny Florian	3	0	2	5	Retired
Josh Koscheck	2	2	1	5	Active
Melvin Guillard	2	3	0	5	Active
Dennis Siver	2	2	1	5	Active
Martin Kampmann	2	2	1	5	Active
B.J. Penn	2	1	2	5	Active
Ed Herman	2	1	2	5	Active
Roy Nelson	1	4	0	5	Active
Lyoto Machida	1	4	0	5	Active
Stefan Struve	1	1	3	5	Active
