Pick	Player	Team	Position	Hometown/School
1	Jeff King	Pittsburgh Pirates	SS	University of Arkansas
2	Greg Swindell	Cleveland Indians	P	University of Texas
3	Matt Williams	San Francisco Giants	3B	UNLV
4	Kevin Brown	Texas Rangers	P	Georgia Tech
5	Kent Mercker	Atlanta Braves	P	Dublin HS (Dublin, OH)
6	Gary Sheffield	Milwaukee Brewers	SS	Hillsborough HS (Tampa, FL)
7	Brad Brink	Philadelphia Phillies	RHP	University of Southern California
8	Patrick Lennon	Seattle Mariners	SS	Whiteville HS (Whiteville, NC)
9	Derrick May	Chicago Cubs	OF	Newark HS (Newark, DE)
10	Derek Parks	Minnesota Twins	RHP	Montclair HS (Montclair, CA)
11	Thomas Howard	San Diego Padres	OF	Ball State University
12	Scott Hemond	Oakland Athletics	C	University of South Florida
13	Ryan Bowen	Houston Astros	RHP	Hanford HS (Hanford, CA)
14	Greg McMurtry	Boston Red Sox	OF	Brockton HS (Brockton, MA)
15	Kevin Dean	Montreal Expos	OF	Hogan HS (Vallejo, CA)
16	Roberto Hernández	California Angels	RHP	University of South Carolina
17	Scott Scudder	Cincinnati Reds	RHP	Prairiland HS (Blossom, TX)
18	Phil Clark	Detroit Tigers	C	Crockett HS (Crockett, TX)
19	Mike White	Los Angeles Dodgers	OF	Loudon HS (Loudon, TN)
20	Grady Hall	Chicago White Sox	LHP	Northwestern University
21	Lee May, Jr.	New York Mets	OF	Purcell Marian HS (Cincinnati, OH)
22	Lee Stevens	California Angels	OF	Lawrence, HS (Lawrence, KS)
23	Luis Alicea	St. Louis Cardinals	2B	Florida State University
24	Tony Clements	Kansas City Royals	SS	Don Antonio Lugo (Chino, CA)
25	Terry Carr	California Angels	OF	Bennett HS (Salisbury, MD)
26	Earl Sanders	Toronto Blue Jays	RHP	Jackson State University
27	Mike Fetters	California Angels	RHP	Pepperdine University
28	Daryl Green	California Angels	RHP	Nacogdoches HS ( Nacogdoches, TX )
