Round	Pick	Position	Nationality	School/club team
1	1	PG	United States a[› ]	Duke ( Fr. )
1	2	PF	United States	Arizona ( So. )
1	3	C	Turkey b[› ]	Kentucky ( Fr. ) c[› ]
1	4	PF	Canada	Texas ( Fr. )
1	5	C	Lithuania	Lietuvos Rytas ( Lithuania )
1	6	PF	Czech Republic	Partizan ( Serbia )
1	7	PF	DR Congo	Fuenlabrada ( Spain )
1	8	PG	United States	Kentucky ( Fr. )
1	9	PG	United States	Connecticut ( Jr. )
1	10	PG	United States	BYU ( Sr. )
1	11	SG	United States	Washington State ( Jr. )
1	12	SG	United States	Colorado ( So. )
1	13	PF	United States	Kansas ( Jr. )
1	14	PF	United States	Kansas ( Jr. )
1	15	SF	United States	San Diego State ( So. )
1	16	C	Montenegro d[› ]	USC ( Jr. )
1	17	SG	United States	Georgia Tech ( Jr. )
1	18	SF	United States	Florida State ( Jr. )
1	19	SF	United States	Tennessee ( Fr. )
1	20	PF	Lithuania	Benetton Treviso ( Italy )
1	21	PG	United States	Duke ( Sr. )
1	22	PF	United States	Morehead State ( Sr. )
1	23	PF	Spain e[› ]	Real Madrid ( Spain )
1	24	PG	United States f[› ]	Boston College ( Jr. )
1	25	SG	United States	Providence ( Sr. )
1	26	SG	United States	Texas ( So. )
1	27	PF	United States	Purdue ( Sr. )
1	28	PG	United States	Cleveland State ( Sr. )
1	29	PG	Canada	Texas ( Fr. )
1	30	SF	United States	Marquette ( Sr. )
2	31	SF	Croatia f[› ]	Fenerbahçe Ülker ( Turkey ) g[› ]
2	32	PF	United States	Richmond ( Sr. )
2	33	SF	United States	Duke ( Sr. )
2	34	PG	United States	Butler ( Jr. )
2	35	SF	United States	UCLA ( So. )
2	36	PF	United States	Maryland ( So. )
2	37	PF	United States	Georgia ( Jr. )
2	38	SF	United States	Florida ( Sr. )
2	39	PF	United States	Tokyo Apache ( Japan )
2	40	PF	United States	Wisconsin ( Sr. )
2	41	PG	United States	Michigan ( So. )
2	42	SF	Latvia	Union Olimpija ( Slovenia )
2	43	SG	United States	UCLA ( Jr. )
2	44	PG	United States	Hofstra ( Sr. )
2	45	C	United States	Kentucky ( Sr. )
2	46	PG	United States	College of Charleston ( Sr. )
2	47	SG	United States	Georgia ( Jr. )
2	48	C	United States	Oakland ( Sr. )
2	49	PG	United States	Kansas ( Fr. )
2	50	PF	United States	Temple ( Sr. )
2	51	SG	United States	Ohio State ( Sr. )
2	52	PF	United States	Florida ( Sr. )
2	53	SG	United States	Kentucky ( Jr. )
2	54	PF	Serbia h[› ]	Maccabi Tel Aviv ( Israel )
2	55	SG	United States	Purdue ( Sr. )
2	56	PF	Nigeria	Bakersfield Jam ( D-League )
2	57	SF	Qatar i[› ]	Al Rayyan ( Qatar )
2	58	PF	Australia j[› ]	Gold Coast Blaze ( Australia )
2	59	SG	Hungary	Assignia Manresa ( Spain ) k[› ]
2	60	PG	United States	Washington ( Jr. )
