Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification	Trofeo Fast Team
P	Roberto Visentini	Roberto Visentini	not awarded	not awarded	not awarded	Carrera Jeans-Vagabond
1a	Erik Breukink	Erik Breukink	Erik Breukink	Erik Breukink	Lech Piasecki	Panasonic-Isostar
1b	Stephen Roche	Erik Breukink	Erik Breukink	Erik Breukink	Lech Piasecki	Panasonic-Isostar
2	Moreno Argentin	Erik Breukink	Erik Breukink	Robert Millar	Lech Piasecki	Panasonic-Isostar
3	Carrera Jeans-Vagabond	Stephen Roche	Erik Breukink	Robert Millar	Lech Piasecki	Carrera Jeans-Vagabond
4	Moreno Argentin	Stephen Roche	Stephen Roche	Robert Millar	Lech Piasecki	Carrera Jeans-Vagabond
5	Eddy Planckaert	Stephen Roche	Stephen Roche	Robert Millar	Lech Piasecki	Carrera Jeans-Vagabond
6	Jean-Claude Bagot	Stephen Roche	Stephen Roche	Robert Millar	Tony Rominger	Carrera Jeans-Vagabond
7	Moreno Argentin	Stephen Roche	Moreno Argentin	Robert Millar	Tony Rominger	Carrera Jeans-Vagabond
8	Paolo Rosola	Stephen Roche	Moreno Argentin	Robert Millar	Tony Rominger	Carrera Jeans-Vagabond
9	Alessio Di Basco	Stephen Roche	Moreno Argentin	Robert Millar	Tony Rominger	Carrera Jeans-Vagabond
10	Paolo Rosola	Stephen Roche	Paolo Rosola	Robert Millar	Tony Rominger	Carrera Jeans-Vagabond
11	Robert Forest	Stephen Roche	Paolo Rosola	Robert Millar	Tony Rominger	Carrera Jeans-Vagabond
12	Guido Bontempi	Stephen Roche	Paolo Rosola	Robert Millar	Tony Rominger	Carrera Jeans-Vagabond
13	Roberto Visentini	Roberto Visentini	Paolo Rosola	Robert Millar	Tony Rominger	Carrera Jeans-Vagabond
14	Paolo Cimini	Roberto Visentini	Paolo Rosola	Robert Millar	Tony Rominger	Carrera Jeans-Vagabond
15	Johan van der Velde	Stephen Roche	Paolo Rosola	Robert Millar	Tony Rominger	Panasonic-Isostar
16	Johan van der Velde	Stephen Roche	Paolo Rosola	Robert Millar	Tony Rominger	Panasonic-Isostar
17	Marco Vitali	Stephen Roche	Johan van der Velde	Robert Millar	Tony Rominger	Panasonic-Isostar
18	Giuseppe Calcaterra	Stephen Roche	Johan van der Velde	Robert Millar	Tony Rominger	Panasonic-Isostar
19	Jean-François Bernard	Stephen Roche	Johan van der Velde	Robert Millar	Roberto Conti	Panasonic-Isostar
20	Paolo Rosola	Stephen Roche	Johan van der Velde	Robert Millar	Roberto Conti	Panasonic-Isostar
21	Robert Millar	Stephen Roche	Johan van der Velde	Robert Millar	Roberto Conti	Panasonic-Isostar
22	Stephen Roche	Stephen Roche	Johan van der Velde	Robert Millar	Roberto Conti	Panasonic-Isostar
Final	Final	Stephen Roche	Johan van der Velde	Robert Millar	Roberto Conti	Panasonic-Isostar
