Rank	Team	Run 1	Run 2	Run 3	Run 4	Final
Gold	United States (USA) USA II	1:17.1	1:19.6	1:21.4	1:22.0	5:20.1
Silver	Belgium (BEL) Belgium I	1:17.3	1:20.9	1:22.0	1:21.1	5:21.3
Bronze	United States (USA) USA I	1:17.4	1:20.7	1:21.8	1:21.6	5:21.5
4	Switzerland (SUI) Switzerland I	1:16.9	1:21.2	1:22.3	1:21.7	5:22.1
5	Norway (NOR) Norway I	1:17.3	1:20.8	1:21.4	1:23.0	5:22.5
6	Italy (ITA) Italy I	1:18.2	1:20.8	1:22.1	1:21.9	5:23.3
7	Great Britain (GBR) Great Britain I	1:18.5	1:20.9	1:22.5	1:23.0	5:23.3
8	Switzerland (SUI) Switzerland II	1:17.6	1:20.8	1:22.3	1:24.7	5:25.5
9	France (FRA) France I	1:18.9	1:22.2	1:23.8	1:24.5	5:29.4
10	Norway (NOR) Norway II	1:20.0	1:22.6	1:23.6	1:23.5	5:29.7
11	Italy (ITA) Italy II	1:19.8	1:22.8	1:23.2	1:24.4	5:30.2
12	Argentina (ARG) Argentina I	1:20.5	1:23.4	1:24.5	1:24.5	5:32.9
13	France (FRA) France II	1:20.7	1:24.7	1:24.7	1:25.3	5:35.4
14	Czechoslovakia (TCH) Czechoslovakia I	1:20.6	1:24.1	1:25.4	1:25.4	5:35.5
15	Great Britain (GBR) Great Britain II	1:20.8	1:24.3	1:29.8	1:26.2	5:41.1
