LTSR No.	LTSR Name	Builder	Built	MR No.	LMS 1930 No.	BR No.	Withdrawn
37	Woodgrange	SS 4245	1897	2146	2135	41953	1951
38	Westcliff	SS 4246	1897	2147	2136	41954	1951
39	Forest Gate	SS 4247	1897	2148	2137	41955	1951
40	Benfleet	SS 4248	1897	2149	2138	41956	1951
41	Leytonstone	SS 4249	1897	2150	2139	41957	1951
42	East Horndon	SS 4250	1897	2151	2140	41958	1951
43	Great Ilford	Dübs 3666	1898	2152	2141	41959	1951
44	Prittlewell	Dübs 3667	1898	2153	2142	41960	1951
45	Shoeburyness	Dübs 3668	1898	2154	2143	41961	1952
46	Southchurch	Dübs 3669	1898	2155	2144	41962	1951
47	Stratford	Dübs 3670	1898	2156	2145	41963	1951
