Block A	Kaz Hayashi	NOSAWA Rongai	Super Crazy	Toshizo
KAI	KAI (12:02)	NOSAWA (12:23)	KAI (11:11)	KAI (10:30)
Kaz Hayashi	X	Hayashi (24:47)	Draw (30:00)	Double Countout (12:29)
NOSAWA Rongai	Hayashi (24:47)	X	Super Crazy (8:37)	Double Disqualification (9:54)
Super Crazy	Draw (30:00)	Super Crazy (8:37)	X	Super Crazy (11:31)
Toshizo	Double Countout (12:29)	Double Disqualification (9:54)	Super Crazy (11:31)	X
Block B	MAZADA	Minoru	Petey Williams	Shuji Kondo
Hiroshi Yamato	MAZADA (11:55)	Minoru (11:27)	Yamato (11:11)	Kondo (9:06)
MAZADA	X	Minoru (10:26)	Williams (6:55)	Kondo (8:58)
Minoru	Minoru (10:26)	X	Minoru (11:15)	Minoru (19:10)
Petey Williams	Williams (6:55)	Minoru (11:15)	X	Kondo (11:21)
Shuji Kondo	Kondo (8:58)	Minoru (19:10)	Kondo (11:21)	X
