Date	Opponents	H / A	Result F – A	Attendance
28 July 1992	Start	A	3 – 0	4,118
29 July 1992	Celtic	A	1 – 1	34,368
31 July 1992	Lillestrøm	A	1 – 1	5,569
2 August 1992	Rosenborg	A	3 – 2	9,379
4 August 1992	Elfsborg	A	0 – 0	4,491
9 August 1992	Republic of Ireland XI	A	2 – 0	30,069
11 August 1992	Swansea City	A	1 – 1	9,744
11 November 1992	Brøndby	H	3 – 2	5,102
1 December 1992	Benfica	A	0 – 1	40,000
12 May 1993	Aston Villa	N	1 – 1	22,000
14 May 1993	Bristol City	A	3 – 3	21,716
17 May 1993	Arsenal	A	4 – 4	22,117
