Year	Entrant	Chassis	Engine	Pts.
1985	Tyrrell Racing Organisation	Tyrrell 014	Renault V6 (t/c)	3
1986	Jolly Club SpA	AGS JH21C	Motori Moderni V6 (t/c)	0
1987	Leyton House March Racing Team	March 871	Ford Cosworth DFZ V8	1
1988	Leyton House March Racing Team	March 881	Judd V8	17
1989	Leyton House Racing	March 881	Judd V8	0
1989	Leyton House Racing	March CG-891	Judd V8	0
1990	Leyton House	Leyton House CG901	Judd V8	6
1991	Leyton House	Leyton House CG911	Ilmor V10	1
1992	Scuderia Ferrari SpA	Ferrari F92A	Ferrari V12	3
1993	Sasol Jordan	Jordan 193	Hart V10	0
