Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Kevin McCarthy	Defense	Canada	Winnipeg Monarchs ( WCHL )
2	Tom Gorence	Right Wing	United States	Minnesota Golden Gophers‬ ( CCHA )
3	Dave Hoyda	Left Wing	Canada	Portland Winter Hawks (WCHL)
4	Yves Guillemette	Goaltender	Canada	Shawinigan Dynamos ( QMJHL )
4	Rene Hamelin	Right Wing	Canada	Shawinigan Dynamos (QMJHL)
5	Dan Clark	Defense	Canada	Kamloops Chiefs (WCHL)
6	Alain Chaput	Center	Canada	Sorel Black Hawks (QMJHL)
7	Richard Dalpe	Center	Canada	Trois-Rivières Draveurs (QMJHL)
8	Pete Peeters	Goaltender	Canada	Medicine Hat Tigers (WCHL)
8	Clint Eccles	Center	Canada	Kamloops Chiefs (WCHL)
8	Mike Greeder	Defense	United States	St. Paul Vulcans (MJHL)
9	Tom Bauer	Wing	United States	‬Providence Friars ( HE )
9	Michael Bauman	Defense	Canada	Hull Olympiques (QMJHL)
9	Bruce Crowder	Forward	Canada	‬New Hampshire Wildcats (HE)
10	Rob Nicholson	Defense	United States	St. Paul Vulcans (MJHL)
10	Dave Isherwood	Center	Canada	Winnipeg Monarchs (WCHL)
10	Steve Jones	Goaltender	Canada	‬Ohio State Buckeyes ( CCHA )
11	Jim Trainor	Defense	United States	‬Harvard Crimson ( ECAC )
11	Barry Duench	Center	Canada	Kitchener Rangers ( OHA )
11	Rod McNair	Defense	Canada	Ohio State Buckeyes (CCHA)
12	Mike Laycock	Goaltender	Canada	Brown Bears (ECAC)
