Series #	Season #	Title	Directed by	Written by	Original air date	U.S. viewers (in millions)
63	1	"The (Very) Big Bird Job"	John Rogers	John Rogers	July15,2012	3.39
64	2	"The Blue Line Job"	Marc Roskin	M. Scott Veach & Paul Guyot	July22,2012	2.63
65	3	"The First Contact Job"	Jonathan Frakes	Aaron Denius Garcia	August5,2012	2.61
66	4	"The French Connection Job"	Tawnia McKiernan	Paul Guyot	August12,2012	2.32
67	5	"The Gimme a K Street Job"	Jonathan Frakes	Jeremy Bernstein	August19,2012	2.39
68	6	"The D.B. Cooper Job"	Marc Roskin	Chris Downey	August26,2012	2.62
69	7	"The Real Fake Car Job"	John Harrison	Josh Schaer	September2,2012	2.35
70	8	"The Broken Wing Job"	John Harrison	M. Scott Veach & Rebecca Kirsch	September9,2012	2.19
71	9	"The Rundown Job"	Dean Devlin	Chris Downey & Josh Schaer	September16,2012	2.63
72	10	"The Frame Up Job"	Marc Roskin	Geoffrey Thorne & Jeremy Bernstein	September16,2012	2.45
73	11	"The Low Low Price Job"	Tawnia McKiernan	Rebecca Kirsch	November27,2012	1.91
74	12	"The White Rabbit Job"	PJ Pesce	Geoffrey Thorne	December4,2012	2.42
75	13	"The Corkscrew Job"	Marc Roskin	Jenn Kao	December11,2012	2.04
76	14	"The Toy Job"	Jonathan Frakes	Joe Hortua	December18,2012	2.23
