Episode title	Subject	Music by	Lyrics by	Performed by	First aired
Elbow Room	U.S. territorial expansion	Lynn Ahrens	Lynn Ahrens	Sue Manchester	1975
Fireworks	Declaration of Independence	Lynn Ahrens	Lynn Ahrens	Grady Tate	1976
The Great American Melting Pot	Immigration / Diversity	Lynn Ahrens	Lynn Ahrens	Lori Lieberman	1977, or May 1, 1976
I'm Just a Bill	Legislative Process	Dave Frishberg	Dave Frishberg	Jack Sheldon	1975
No More Kings	American independence	Lynn Ahrens	Lynn Ahrens	Lynn Ahrens & Bob Dorough	1975
Preamble	United States Constitution	Lynn Ahrens	Lynn Ahrens	Lynn Ahrens	1975
The Shot Heard 'Round The World	American Revolutionary War	Bob Dorough	Bob Dorough	Bob Dorough	1976
Sufferin' 'til Suffrage	Women's suffrage	Bob Dorough	Tom Yohe	Essra Mohawk	1976
Three Ring Government	Separation of powers	Lynn Ahrens	Lynn Ahrens	Lynn Ahrens	1979
I'm Gonna Send Your Vote to College	Electoral College	George R. Newall and Bob Dorough	George R. Newall and Bob Dorough	Jack Sheldon and Bob Dorough	2002
