Country	Total Drivers	Champions	Championships	Current March 20, 2010	First driver(s)	Last/Current driver(s) March 20, 2010
Bahrain	1	0	0	0	Hamad Al Fardan ( 2008–09 )	Hamad Al Fardan ( 2008–09 )
Belgium	1	0	0	0	Jérôme d'Ambrosio ( 2008 )	Jérôme d'Ambrosio ( 2008–09 )
Bulgaria	2	0	0	0	Vladimir Arabadzhiev , Plamen Kralev ( 2009–10 )	Vladimir Arabadzhiev , Plamen Kralev ( 2009–10 )
China	1	0	0	0	Ho-Pin Tung ( 2008 )	Ho-Pin Tung ( 2008 )
Czech Republic	1	0	0	1	Josef Král ( 2009–10 )	Josef Král
Denmark	1	0	0	0	Christian Bakkerud ( 2008 )	Christian Bakkerud ( 2008 )
Finland	1	0	0	0	Mika Mäki ( 2008–09 )	Mika Mäki ( 2008–09 )
Germany	2	0	0	0	Nico Hülkenberg ( 2008–09 )	Christian Vietoris ( 2009–10 )
India	2	0	0	2	Karun Chandhok , Armaan Ebrahim ( 2008 )	Karun Chandhok ( 2008–09 )
Latvia	1	0	0	0	Harald Schlegelmilch ( 2008 )	Harald Schlegelmilch ( 2008 )
Malaysia	2	0	0	1	Fairuz Fauzy ( 2008 )	Fairuz Fauzy
Mexico	2	0	0	1	Sergio Pérez ( 2008–09 )	Esteban Gutiérrez
Monaco	1	0	0	1	Stefano Coletti ( 2011 )	Stefano Coletti
Netherlands	3	0	0	1	Yelmer Buurman ( 2008 )	Giedo van der Garde
New Zealand	2	0	0	0	Earl Bamber , Chris van der Drift ( 2008–09 )	Earl Bamber , Chris van der Drift ( 2008–09 )
Norway	1	0	0	1	Pål Varhaug ( 2011 )	Pål Varhaug
Pakistan	1	0	0	0	Adam Khan ( 2008 )	Adam Khan ( 2008 )
Portugal	2	0	0	0	Álvaro Parente , Ricardo Teixeira ( 2008–09 )	Álvaro Parente ( 2009–10 )
Romania	1	0	0	1	Michael Herck ( 2008 )	Michael Herck
Russia	2	0	0	1	Vitaly Petrov ( 2008 )	Mikhail Aleshin
Serbia	1	0	0	0	Miloš Pavlović ( 2008 )	Miloš Pavlović ( 2008 )
South Africa	1	0	0	0	Adrian Zaugg ( 2009-10 )	Adrian Zaugg ( 2009-10 )
Sweden	1	0	0	1	Marcus Ericsson ( 2009–10 )	Marcus Ericsson
Switzerland	2	0	0	1	Sébastien Buemi ( 2008 )	Fabio Leimer
Taiwan	1	0	0	0	Kevin Nai Chia Chen ( 2008–09 )	Kevin Nai Chia Chen ( 2008–09 )
Turkey	1	0	0	0	Jason Tahinci ( 2008 )	Jason Tahinci ( 2008 )
United Arab Emirates	1	0	0	0	Andreas Zuber ( 2008–09 )	Andreas Zuber ( 2008–09 )
United States	2	0	0	0	Alexander Rossi ( 2009–10 )	Jake Rosenzweig , Alexander Rossi ( 2009–10 )
