Date	Visitor	Score	Home	Leading scorer	Attendance	Record
April 2	Denver	104-101	Cleveland	Mark Price , 21 points	Gund Arena 20,562	39-32
April 4	Boston	97-92	Cleveland	Bobby Phills , 17 points	Gund Arena 20,562	39-33
April 5	Cleveland	87-96	Atlanta	Hot Rod Williams , 14 points	The Omni 12,539	39-34
April 7	Cleveland	88-97	Chicago	Bobby Phills , 22 points	United Center 23,664	39-35
April 9	Chicago	78-79	Cleveland	Mark Price , 20 points	Gund Arena 20,562	40-35
April 11	Cleveland	90-107	Orlando	Tyrone Hill , 24 points	Orlando Arena 16,010	40-36
April 13	Cleveland	84-85	Miami	Mark Price , 20 points	Miami Arena 14,311	40-37
April 14	Atlanta	70-83	Cleveland	2 way tie, 16 points	Gund Arena 20,562	41-37
April 18	Cleveland	76-85	Detroit	Bobby Phills , 17 points	The Palace of Auburn Hills 17,203	41-38
April 19	Miami	79-90	Cleveland	Tyrone Hill , 21 points	Gund Arena 20,562	42-38
April 21	Milwaukee	82-103	Cleveland	Hot Rod Williams , 24 points	Gund Arena 20,562	43-38
April 23	Cleveland	72-97	Charlotte	Bobby Phills , 13 points	Charlotte Coliseum 23,698	43-39
