Rank	Name	Nation	SP+FS	Points	Places
1	Vladimir Kovalev	Soviet Union	2	185.00	17
2	Robin Cousins	United Kingdom	1	185.18	22
3	Jan Hoffmann	East Germany	4	185.10	23
4	Charles Tickner	United States	3	184.28	28
5	Scott Cramer	United States	6	178.04	52
6	Fumio Igarashi	Japan	5	177.06	57
7	Jean-Christophe Simond	France	7	175.58	67
8	David Santee	United States	10	174.58	71
9	Mitsuru Matsumura	Japan	8	172.74	83
10	Igor Bobrin	Soviet Union	12	172.04	87
11	Konstantin Kokora	Soviet Union	11	169.60	104
12	Hermann Schulz	East Germany	13	169.38	106
13	Brian Pockar	Canada	14	168.50	109
14	Mario Liebers	East Germany	15	166.54	120
15	Vern Taylor	Canada	9	163.62	133
16	Norbert Schramm	West Germany	17	156.44	147
17	Thomas Öberg	Sweden	16	153.10	157
18	Helmut Kristofics-Binder	Austria	19	151.78	162
19	Jozef Sabovčík	Czechoslovakia	20	148.16	175
20	Christopher Howarth	United Kingdom	18	148.62	175
21	William Schober	Australia	21	146.40	182
22	Matijaz Krusec	Yugoslavia	22	138.86	198
